epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1601655830776,2020-10-02T12.23.50.776,0.000,-0.246,-0.072,0.924
1601655830786,2020-10-02T12.23.50.786,0.010,-0.240,-0.070,0.944
1601655830795,2020-10-02T12.23.50.795,0.019,-0.236,-0.081,0.945
1601655830805,2020-10-02T12.23.50.805,0.029,-0.245,-0.089,0.948
1601655830815,2020-10-02T12.23.50.815,0.039,-0.261,-0.082,0.972
1601655830825,2020-10-02T12.23.50.825,0.049,-0.252,-0.083,0.988
1601655830836,2020-10-02T12.23.50.836,0.060,-0.225,-0.094,0.971
1601655830845,2020-10-02T12.23.50.845,0.069,-0.220,-0.086,0.946
1601655830855,2020-10-02T12.23.50.855,0.079,-0.233,-0.072,0.939
1601655830865,2020-10-02T12.23.50.865,0.089,-0.237,-0.070,0.939
1601655830875,2020-10-02T12.23.50.875,0.099,-0.226,-0.080,0.938
1601655830884,2020-10-02T12.23.50.884,0.108,-0.223,-0.085,0.932
1601655830894,2020-10-02T12.23.50.894,0.118,-0.231,-0.082,0.929
1601655830905,2020-10-02T12.23.50.905,0.129,-0.226,-0.084,0.932
1601655830915,2020-10-02T12.23.50.915,0.139,-0.219,-0.091,0.926
1601655830925,2020-10-02T12.23.50.925,0.149,-0.237,-0.078,0.915
1601655830934,2020-10-02T12.23.50.934,0.158,-0.256,-0.063,0.923
1601655830944,2020-10-02T12.23.50.944,0.168,-0.252,-0.066,0.941
1601655830954,2020-10-02T12.23.50.954,0.178,-0.228,-0.076,0.954
1601655830965,2020-10-02T12.23.50.965,0.189,-0.227,-0.082,0.946
1601655830973,2020-10-02T12.23.50.973,0.197,-0.232,-0.083,0.954
1601655830984,2020-10-02T12.23.50.984,0.208,-0.231,-0.085,0.965
1601655830994,2020-10-02T12.23.50.994,0.218,-0.243,-0.083,0.963
1601655831004,2020-10-02T12.23.51.004,0.228,-0.249,-0.089,0.969
1601655831014,2020-10-02T12.23.51.014,0.238,-0.242,-0.094,0.951
1601655831023,2020-10-02T12.23.51.023,0.247,-0.231,-0.060,1.021
1601655831033,2020-10-02T12.23.51.033,0.257,-0.281,-0.087,0.911
1601655831044,2020-10-02T12.23.51.044,0.268,-0.242,-0.064,0.910
1601655831054,2020-10-02T12.23.51.054,0.278,-0.211,-0.070,0.941
1601655831063,2020-10-02T12.23.51.063,0.287,-0.229,-0.080,0.927
1601655831073,2020-10-02T12.23.51.073,0.297,-0.245,-0.078,0.922
1601655831083,2020-10-02T12.23.51.083,0.307,-0.227,-0.084,0.941
1601655831094,2020-10-02T12.23.51.094,0.318,-0.215,-0.097,0.945
1601655831104,2020-10-02T12.23.51.104,0.328,-0.228,-0.096,0.935
1601655831113,2020-10-02T12.23.51.113,0.337,-0.238,-0.090,0.937
1601655831123,2020-10-02T12.23.51.123,0.347,-0.235,-0.083,0.944
1601655831133,2020-10-02T12.23.51.133,0.357,-0.231,-0.086,0.945
1601655831143,2020-10-02T12.23.51.143,0.367,-0.231,-0.084,0.943
1601655831152,2020-10-02T12.23.51.152,0.376,-0.235,-0.080,0.949
1601655831162,2020-10-02T12.23.51.162,0.386,-0.232,-0.082,0.951
1601655831173,2020-10-02T12.23.51.173,0.397,-0.224,-0.092,0.951
1601655831183,2020-10-02T12.23.51.183,0.407,-0.233,-0.091,0.948
1601655831193,2020-10-02T12.23.51.193,0.417,-0.246,-0.085,0.955
1601655831202,2020-10-02T12.23.51.202,0.426,-0.235,-0.086,0.960
1601655831212,2020-10-02T12.23.51.212,0.436,-0.234,-0.085,0.948
1601655831222,2020-10-02T12.23.51.222,0.446,-0.241,-0.076,0.945
1601655831233,2020-10-02T12.23.51.233,0.457,-0.246,-0.068,0.945
1601655831242,2020-10-02T12.23.51.242,0.466,-0.243,-0.073,0.944
1601655831252,2020-10-02T12.23.51.252,0.476,-0.238,-0.078,0.940
1601655831262,2020-10-02T12.23.51.262,0.486,-0.228,-0.079,0.943
1601655831272,2020-10-02T12.23.51.272,0.496,-0.233,-0.073,0.930
1601655831283,2020-10-02T12.23.51.283,0.507,-0.235,-0.065,0.926
1601655831291,2020-10-02T12.23.51.291,0.515,-0.228,-0.063,0.933
1601655831302,2020-10-02T12.23.51.302,0.526,-0.231,-0.065,0.934
1601655831312,2020-10-02T12.23.51.312,0.536,-0.240,-0.068,0.938
1601655831322,2020-10-02T12.23.51.322,0.546,-0.226,-0.077,0.948
1601655831332,2020-10-02T12.23.51.332,0.556,-0.228,-0.083,0.949
1601655831341,2020-10-02T12.23.51.341,0.565,-0.232,-0.086,0.952
1601655831351,2020-10-02T12.23.51.351,0.575,-0.236,-0.082,0.960
1601655831362,2020-10-02T12.23.51.362,0.586,-0.241,-0.081,0.960
1601655831372,2020-10-02T12.23.51.372,0.596,-0.242,-0.078,0.960
1601655831381,2020-10-02T12.23.51.381,0.605,-0.243,-0.074,0.963
1601655831391,2020-10-02T12.23.51.391,0.615,-0.249,-0.077,0.955
1601655831401,2020-10-02T12.23.51.401,0.625,-0.256,-0.079,0.951
1601655831411,2020-10-02T12.23.51.411,0.635,-0.241,-0.085,0.961
1601655831422,2020-10-02T12.23.51.422,0.646,-0.237,-0.088,0.952
1601655831430,2020-10-02T12.23.51.430,0.654,-0.235,-0.083,0.937
1601655831441,2020-10-02T12.23.51.441,0.665,-0.236,-0.073,0.931
1601655831451,2020-10-02T12.23.51.451,0.675,-0.236,-0.066,0.928
1601655831461,2020-10-02T12.23.51.461,0.685,-0.226,-0.072,0.929
1601655831470,2020-10-02T12.23.51.470,0.694,-0.215,-0.077,0.933
1601655831480,2020-10-02T12.23.51.480,0.704,-0.223,-0.076,0.933
1601655831491,2020-10-02T12.23.51.491,0.715,-0.229,-0.078,0.939
1601655831501,2020-10-02T12.23.51.501,0.725,-0.225,-0.086,0.947
1601655831511,2020-10-02T12.23.51.511,0.735,-0.240,-0.083,0.952
1601655831520,2020-10-02T12.23.51.520,0.744,-0.243,-0.083,0.960
1601655831530,2020-10-02T12.23.51.530,0.754,-0.240,-0.088,0.958
1601655831540,2020-10-02T12.23.51.540,0.764,-0.233,-0.086,0.952
1601655831551,2020-10-02T12.23.51.551,0.775,-0.230,-0.086,0.953
1601655831559,2020-10-02T12.23.51.559,0.783,-0.245,-0.086,0.950
1601655831570,2020-10-02T12.23.51.570,0.794,-0.242,-0.084,0.960
1601655831580,2020-10-02T12.23.51.580,0.804,-0.235,-0.083,0.954
1601655831590,2020-10-02T12.23.51.590,0.814,-0.241,-0.077,0.943
1601655831600,2020-10-02T12.23.51.600,0.824,-0.245,-0.070,0.932
1601655831609,2020-10-02T12.23.51.609,0.833,-0.239,-0.070,0.929
1601655831619,2020-10-02T12.23.51.619,0.843,-0.226,-0.071,0.937
1601655831630,2020-10-02T12.23.51.630,0.854,-0.239,-0.065,0.937
1601655831640,2020-10-02T12.23.51.640,0.864,-0.247,-0.068,0.939
1601655831649,2020-10-02T12.23.51.649,0.873,-0.234,-0.073,0.947
1601655831659,2020-10-02T12.23.51.659,0.883,-0.220,-0.080,0.940
1601655831669,2020-10-02T12.23.51.669,0.893,-0.225,-0.077,0.936
1601655831679,2020-10-02T12.23.51.679,0.903,-0.237,-0.072,0.940
1601655831690,2020-10-02T12.23.51.690,0.914,-0.245,-0.071,0.946
1601655831699,2020-10-02T12.23.51.699,0.923,-0.252,-0.068,0.954
1601655831709,2020-10-02T12.23.51.709,0.933,-0.242,-0.078,0.957
1601655831719,2020-10-02T12.23.51.719,0.943,-0.225,-0.089,0.959
1601655831729,2020-10-02T12.23.51.729,0.953,-0.221,-0.089,0.953
1601655831738,2020-10-02T12.23.51.738,0.962,-0.227,-0.085,0.950
1601655831748,2020-10-02T12.23.51.748,0.972,-0.236,-0.080,0.956
1601655831759,2020-10-02T12.23.51.759,0.983,-0.245,-0.080,0.952
1601655831769,2020-10-02T12.23.51.769,0.993,-0.241,-0.083,0.962
1601655831779,2020-10-02T12.23.51.779,1.003,-0.233,-0.084,0.958
1601655831788,2020-10-02T12.23.51.788,1.012,-0.235,-0.080,0.941
1601655831798,2020-10-02T12.23.51.798,1.022,-0.240,-0.073,0.936
1601655831808,2020-10-02T12.23.51.808,1.032,-0.237,-0.072,0.934
1601655831819,2020-10-02T12.23.51.819,1.043,-0.232,-0.071,0.932
1601655831827,2020-10-02T12.23.51.827,1.051,-0.229,-0.070,0.932
1601655831838,2020-10-02T12.23.51.838,1.062,-0.236,-0.073,0.932
1601655831848,2020-10-02T12.23.51.848,1.072,-0.235,-0.075,0.932
1601655831858,2020-10-02T12.23.51.858,1.082,-0.232,-0.076,0.938
1601655831868,2020-10-02T12.23.51.868,1.092,-0.237,-0.074,0.948
1601655831877,2020-10-02T12.23.51.877,1.101,-0.248,-0.073,0.958
1601655831887,2020-10-02T12.23.51.887,1.111,-0.247,-0.075,0.959
1601655831898,2020-10-02T12.23.51.898,1.122,-0.240,-0.082,0.962
1601655831908,2020-10-02T12.23.51.908,1.132,-0.233,-0.085,0.955
1601655831917,2020-10-02T12.23.51.917,1.141,-0.232,-0.085,0.949
1601655831927,2020-10-02T12.23.51.927,1.151,-0.237,-0.082,0.945
1601655831937,2020-10-02T12.23.51.937,1.161,-0.229,-0.078,0.945
1601655831948,2020-10-02T12.23.51.948,1.172,-0.223,-0.079,0.935
1601655831958,2020-10-02T12.23.51.958,1.182,-0.233,-0.076,0.924
1601655831967,2020-10-02T12.23.51.967,1.191,-0.237,-0.073,0.930
1601655831977,2020-10-02T12.23.51.977,1.201,-0.224,-0.080,0.938
1601655831987,2020-10-02T12.23.51.987,1.211,-0.226,-0.085,0.937
1601655831997,2020-10-02T12.23.51.997,1.221,-0.227,-0.083,0.950
1601655832006,2020-10-02T12.23.52.006,1.230,-0.230,-0.082,0.958
1601655832016,2020-10-02T12.23.52.016,1.240,-0.239,-0.084,0.954
1601655832027,2020-10-02T12.23.52.027,1.251,-0.240,-0.081,0.959
1601655832037,2020-10-02T12.23.52.037,1.261,-0.239,-0.077,0.968
1601655832047,2020-10-02T12.23.52.047,1.271,-0.245,-0.072,0.958
1601655832056,2020-10-02T12.23.52.056,1.280,-0.248,-0.069,0.949
1601655832066,2020-10-02T12.23.52.066,1.290,-0.242,-0.072,0.945
1601655832076,2020-10-02T12.23.52.076,1.300,-0.243,-0.072,0.940
1601655832087,2020-10-02T12.23.52.087,1.311,-0.234,-0.075,0.941
1601655832096,2020-10-02T12.23.52.096,1.320,-0.236,-0.072,0.934
1601655832106,2020-10-02T12.23.52.106,1.330,-0.245,-0.069,0.933
1601655832116,2020-10-02T12.23.52.116,1.340,-0.228,-0.074,0.945
1601655832126,2020-10-02T12.23.52.126,1.350,-0.219,-0.083,0.935
1601655832137,2020-10-02T12.23.52.137,1.361,-0.239,-0.080,0.923
1601655832145,2020-10-02T12.23.52.145,1.369,-0.245,-0.074,0.944
1601655832156,2020-10-02T12.23.52.156,1.380,-0.232,-0.083,0.956
1601655832166,2020-10-02T12.23.52.166,1.390,-0.230,-0.089,0.949
1601655832176,2020-10-02T12.23.52.176,1.400,-0.232,-0.085,0.952
1601655832185,2020-10-02T12.23.52.185,1.409,-0.230,-0.083,0.953
1601655832195,2020-10-02T12.23.52.195,1.419,-0.228,-0.087,0.948
1601655832205,2020-10-02T12.23.52.205,1.429,-0.238,-0.084,0.940
1601655832216,2020-10-02T12.23.52.216,1.440,-0.238,-0.077,0.946
1601655832226,2020-10-02T12.23.52.226,1.450,-0.232,-0.083,0.951
1601655832235,2020-10-02T12.23.52.235,1.459,-0.235,-0.087,0.947
1601655832245,2020-10-02T12.23.52.245,1.469,-0.235,-0.081,0.950
1601655832255,2020-10-02T12.23.52.255,1.479,-0.239,-0.078,0.947
1601655832265,2020-10-02T12.23.52.265,1.489,-0.238,-0.078,0.948
1601655832274,2020-10-02T12.23.52.274,1.498,-0.229,-0.078,0.952
1601655832284,2020-10-02T12.23.52.284,1.508,-0.232,-0.077,0.946
1601655832295,2020-10-02T12.23.52.295,1.519,-0.233,-0.073,0.945
1601655832305,2020-10-02T12.23.52.305,1.529,-0.231,-0.071,0.949
1601655832315,2020-10-02T12.23.52.315,1.539,-0.239,-0.072,0.947
1601655832324,2020-10-02T12.23.52.324,1.548,-0.246,-0.069,0.945
1601655832334,2020-10-02T12.23.52.334,1.558,-0.241,-0.072,0.948
1601655832345,2020-10-02T12.23.52.345,1.569,-0.238,-0.078,0.948
1601655832355,2020-10-02T12.23.52.355,1.579,-0.228,-0.080,0.943
1601655832364,2020-10-02T12.23.52.364,1.588,-0.224,-0.088,0.934
1601655832374,2020-10-02T12.23.52.374,1.598,-0.233,-0.080,0.948
1601655832384,2020-10-02T12.23.52.384,1.608,-0.239,-0.073,0.955
1601655832394,2020-10-02T12.23.52.394,1.618,-0.235,-0.071,0.943
1601655832405,2020-10-02T12.23.52.405,1.629,-0.236,-0.070,0.936
1601655832413,2020-10-02T12.23.52.413,1.637,-0.232,-0.081,0.939
1601655832424,2020-10-02T12.23.52.424,1.648,-0.232,-0.089,0.947
1601655832434,2020-10-02T12.23.52.434,1.658,-0.244,-0.084,0.948
1601655832444,2020-10-02T12.23.52.444,1.668,-0.247,-0.080,0.950
1601655832453,2020-10-02T12.23.52.453,1.677,-0.238,-0.083,0.957
1601655832463,2020-10-02T12.23.52.463,1.687,-0.235,-0.079,0.953
1601655832473,2020-10-02T12.23.52.473,1.697,-0.242,-0.068,0.951
1601655832484,2020-10-02T12.23.52.484,1.708,-0.250,-0.062,0.948
1601655832494,2020-10-02T12.23.52.494,1.718,-0.248,-0.076,0.938
1601655832503,2020-10-02T12.23.52.503,1.727,-0.230,-0.081,0.925
1601655832513,2020-10-02T12.23.52.513,1.737,-0.225,-0.071,0.937
1601655832523,2020-10-02T12.23.52.523,1.747,-0.225,-0.082,0.939
1601655832533,2020-10-02T12.23.52.533,1.757,-0.235,-0.086,0.940
1601655832542,2020-10-02T12.23.52.542,1.766,-0.216,-0.084,0.951
1601655832553,2020-10-02T12.23.52.553,1.777,-0.222,-0.093,0.944
1601655832563,2020-10-02T12.23.52.563,1.787,-0.234,-0.085,0.953
1601655832573,2020-10-02T12.23.52.573,1.797,-0.234,-0.087,0.966
1601655832583,2020-10-02T12.23.52.583,1.807,-0.232,-0.094,0.961
1601655832592,2020-10-02T12.23.52.592,1.816,-0.230,-0.090,0.965
1601655832602,2020-10-02T12.23.52.602,1.826,-0.229,-0.088,0.957
1601655832613,2020-10-02T12.23.52.613,1.837,-0.242,-0.078,0.946
1601655832623,2020-10-02T12.23.52.623,1.847,-0.245,-0.075,0.951
1601655832632,2020-10-02T12.23.52.632,1.856,-0.235,-0.080,0.951
1601655832642,2020-10-02T12.23.52.642,1.866,-0.221,-0.083,0.946
1601655832652,2020-10-02T12.23.52.652,1.876,-0.227,-0.081,0.935
1601655832662,2020-10-02T12.23.52.662,1.886,-0.230,-0.080,0.933
1601655832673,2020-10-02T12.23.52.673,1.897,-0.233,-0.079,0.931
1601655832681,2020-10-02T12.23.52.681,1.905,-0.233,-0.076,0.935
1601655832692,2020-10-02T12.23.52.692,1.916,-0.240,-0.070,0.942
1601655832702,2020-10-02T12.23.52.702,1.926,-0.248,-0.067,0.941
1601655832712,2020-10-02T12.23.52.712,1.936,-0.243,-0.067,0.940
1601655832721,2020-10-02T12.23.52.721,1.945,-0.234,-0.073,0.941
1601655832731,2020-10-02T12.23.52.731,1.955,-0.232,-0.082,0.942
1601655832742,2020-10-02T12.23.52.742,1.966,-0.230,-0.085,0.956
1601655832752,2020-10-02T12.23.52.752,1.976,-0.228,-0.086,0.959
1601655832762,2020-10-02T12.23.52.762,1.986,-0.237,-0.087,0.953
1601655832771,2020-10-02T12.23.52.771,1.995,-0.246,-0.080,0.950
1601655832781,2020-10-02T12.23.52.781,2.005,-0.233,-0.082,0.950
1601655832791,2020-10-02T12.23.52.791,2.015,-0.234,-0.082,0.944
1601655832802,2020-10-02T12.23.52.802,2.026,-0.240,-0.079,0.938
1601655832812,2020-10-02T12.23.52.812,2.036,-0.235,-0.083,0.942
1601655832821,2020-10-02T12.23.52.821,2.045,-0.236,-0.088,0.935
1601655832831,2020-10-02T12.23.52.831,2.055,-0.234,-0.084,0.945
1601655832841,2020-10-02T12.23.52.841,2.065,-0.233,-0.081,0.947
1601655832851,2020-10-02T12.23.52.851,2.075,-0.231,-0.085,0.944
1601655832860,2020-10-02T12.23.52.860,2.084,-0.215,-0.084,0.942
1601655832870,2020-10-02T12.23.52.870,2.094,-0.209,-0.088,0.937
1601655832881,2020-10-02T12.23.52.881,2.105,-0.207,-0.094,0.943
1601655832891,2020-10-02T12.23.52.891,2.115,-0.220,-0.093,0.950
1601655832901,2020-10-02T12.23.52.901,2.125,-0.236,-0.086,0.951
1601655832910,2020-10-02T12.23.52.910,2.134,-0.230,-0.087,0.951
1601655832920,2020-10-02T12.23.52.920,2.144,-0.232,-0.084,0.942
1601655832930,2020-10-02T12.23.52.930,2.154,-0.242,-0.083,0.942
1601655832941,2020-10-02T12.23.52.941,2.165,-0.233,-0.082,0.953
1601655832950,2020-10-02T12.23.52.950,2.174,-0.225,-0.086,0.953
1601655832960,2020-10-02T12.23.52.960,2.184,-0.224,-0.085,0.953
1601655832970,2020-10-02T12.23.52.970,2.194,-0.231,-0.080,0.957
1601655832980,2020-10-02T12.23.52.980,2.204,-0.228,-0.083,0.951
1601655832991,2020-10-02T12.23.52.991,2.215,-0.219,-0.089,0.940
1601655832999,2020-10-02T12.23.52.999,2.223,-0.235,-0.077,0.929
1601655833010,2020-10-02T12.23.53.010,2.234,-0.239,-0.074,0.941
1601655833020,2020-10-02T12.23.53.020,2.244,-0.228,-0.084,0.951
1601655833030,2020-10-02T12.23.53.030,2.254,-0.233,-0.080,0.951
1601655833039,2020-10-02T12.23.53.039,2.263,-0.238,-0.073,0.954
1601655833049,2020-10-02T12.23.53.049,2.273,-0.239,-0.073,0.945
1601655833059,2020-10-02T12.23.53.059,2.283,-0.225,-0.076,0.954
1601655833070,2020-10-02T12.23.53.070,2.294,-0.212,-0.084,0.957
1601655833080,2020-10-02T12.23.53.080,2.304,-0.222,-0.085,0.951
1601655833089,2020-10-02T12.23.53.089,2.313,-0.228,-0.080,0.953
1601655833099,2020-10-02T12.23.53.099,2.323,-0.236,-0.080,0.955
1601655833109,2020-10-02T12.23.53.109,2.333,-0.244,-0.084,0.952
1601655833119,2020-10-02T12.23.53.119,2.343,-0.236,-0.088,0.955
1601655833128,2020-10-02T12.23.53.128,2.352,-0.241,-0.091,0.953
1601655833138,2020-10-02T12.23.53.138,2.362,-0.256,-0.090,0.942
1601655833149,2020-10-02T12.23.53.149,2.373,-0.242,-0.088,0.948
1601655833159,2020-10-02T12.23.53.159,2.383,-0.230,-0.085,0.943
1601655833169,2020-10-02T12.23.53.169,2.393,-0.221,-0.100,0.917
1601655833178,2020-10-02T12.23.53.178,2.402,-0.205,-0.068,0.943
1601655833188,2020-10-02T12.23.53.188,2.412,-0.207,-0.085,0.932
1601655833199,2020-10-02T12.23.53.199,2.423,-0.217,-0.092,0.921
1601655833209,2020-10-02T12.23.53.209,2.433,-0.211,-0.095,0.937
1601655833218,2020-10-02T12.23.53.218,2.442,-0.220,-0.091,0.956
1601655833228,2020-10-02T12.23.53.228,2.452,-0.226,-0.094,0.960
1601655833238,2020-10-02T12.23.53.238,2.462,-0.239,-0.090,0.952
1601655833248,2020-10-02T12.23.53.248,2.472,-0.236,-0.084,0.952
1601655833259,2020-10-02T12.23.53.259,2.483,-0.237,-0.083,0.952
1601655833267,2020-10-02T12.23.53.267,2.491,-0.234,-0.081,0.957
1601655833278,2020-10-02T12.23.53.278,2.502,-0.234,-0.079,0.961
1601655833288,2020-10-02T12.23.53.288,2.512,-0.233,-0.084,0.957
1601655833298,2020-10-02T12.23.53.298,2.522,-0.223,-0.091,0.965
1601655833307,2020-10-02T12.23.53.307,2.531,-0.222,-0.092,0.958
1601655833317,2020-10-02T12.23.53.317,2.541,-0.224,-0.090,0.948
1601655833327,2020-10-02T12.23.53.327,2.551,-0.228,-0.080,0.940
1601655833338,2020-10-02T12.23.53.338,2.562,-0.233,-0.073,0.942
1601655833348,2020-10-02T12.23.53.348,2.572,-0.233,-0.075,0.945
1601655833357,2020-10-02T12.23.53.357,2.581,-0.228,-0.080,0.936
1601655833367,2020-10-02T12.23.53.367,2.591,-0.226,-0.077,0.927
1601655833377,2020-10-02T12.23.53.377,2.601,-0.230,-0.077,0.925
1601655833387,2020-10-02T12.23.53.387,2.611,-0.233,-0.080,0.937
1601655833396,2020-10-02T12.23.53.396,2.620,-0.221,-0.087,0.950
1601655833407,2020-10-02T12.23.53.407,2.631,-0.213,-0.092,0.955
1601655833417,2020-10-02T12.23.53.417,2.641,-0.224,-0.091,0.955
1601655833427,2020-10-02T12.23.53.427,2.651,-0.217,-0.093,0.972
1601655833437,2020-10-02T12.23.53.437,2.661,-0.219,-0.100,0.977
1601655833446,2020-10-02T12.23.53.446,2.670,-0.223,-0.104,0.970
1601655833456,2020-10-02T12.23.53.456,2.680,-0.231,-0.104,0.969
1601655833467,2020-10-02T12.23.53.467,2.691,-0.244,-0.097,0.962
1601655833477,2020-10-02T12.23.53.477,2.701,-0.254,-0.086,0.955
1601655833486,2020-10-02T12.23.53.486,2.710,-0.243,-0.080,0.955
1601655833496,2020-10-02T12.23.53.496,2.720,-0.226,-0.086,0.940
1601655833506,2020-10-02T12.23.53.506,2.730,-0.228,-0.080,0.922
1601655833516,2020-10-02T12.23.53.516,2.740,-0.225,-0.074,0.925
1601655833527,2020-10-02T12.23.53.527,2.751,-0.216,-0.078,0.925
1601655833535,2020-10-02T12.23.53.535,2.759,-0.225,-0.083,0.917
1601655833546,2020-10-02T12.23.53.546,2.770,-0.229,-0.077,0.928
1601655833556,2020-10-02T12.23.53.556,2.780,-0.228,-0.080,0.935
1601655833566,2020-10-02T12.23.53.566,2.790,-0.236,-0.080,0.930
1601655833575,2020-10-02T12.23.53.575,2.799,-0.240,-0.079,0.940
1601655833585,2020-10-02T12.23.53.585,2.809,-0.233,-0.081,0.958
1601655833596,2020-10-02T12.23.53.596,2.820,-0.234,-0.085,0.960
1601655833606,2020-10-02T12.23.53.606,2.830,-0.234,-0.095,0.958
1601655833616,2020-10-02T12.23.53.616,2.840,-0.222,-0.100,0.968
1601655833625,2020-10-02T12.23.53.625,2.849,-0.227,-0.097,0.959
1601655833635,2020-10-02T12.23.53.635,2.859,-0.232,-0.097,0.950
1601655833645,2020-10-02T12.23.53.645,2.869,-0.232,-0.094,0.945
1601655833656,2020-10-02T12.23.53.656,2.880,-0.224,-0.095,0.948
1601655833664,2020-10-02T12.23.53.664,2.888,-0.220,-0.094,0.949
1601655833675,2020-10-02T12.23.53.675,2.899,-0.215,-0.095,0.954
1601655833685,2020-10-02T12.23.53.685,2.909,-0.210,-0.097,0.943
1601655833695,2020-10-02T12.23.53.695,2.919,-0.210,-0.091,0.936
1601655833705,2020-10-02T12.23.53.705,2.929,-0.215,-0.087,0.942
1601655833714,2020-10-02T12.23.53.714,2.938,-0.223,-0.090,0.945
1601655833724,2020-10-02T12.23.53.724,2.948,-0.236,-0.083,0.943
1601655833735,2020-10-02T12.23.53.735,2.959,-0.234,-0.084,0.950
1601655833745,2020-10-02T12.23.53.745,2.969,-0.228,-0.082,0.955
1601655833754,2020-10-02T12.23.53.754,2.978,-0.229,-0.081,0.948
1601655833764,2020-10-02T12.23.53.764,2.988,-0.228,-0.077,0.950
1601655833774,2020-10-02T12.23.53.774,2.998,-0.225,-0.077,0.954
1601655833784,2020-10-02T12.23.53.784,3.008,-0.226,-0.083,0.950
1601655833795,2020-10-02T12.23.53.795,3.019,-0.221,-0.085,0.950
1601655833804,2020-10-02T12.23.53.804,3.028,-0.227,-0.085,0.954
1601655833814,2020-10-02T12.23.53.814,3.038,-0.229,-0.092,0.954
1601655833824,2020-10-02T12.23.53.824,3.048,-0.235,-0.089,0.951
1601655833834,2020-10-02T12.23.53.834,3.058,-0.238,-0.086,0.949
1601655833843,2020-10-02T12.23.53.843,3.067,-0.225,-0.094,0.953
1601655833853,2020-10-02T12.23.53.853,3.077,-0.223,-0.094,0.946
1601655833864,2020-10-02T12.23.53.864,3.088,-0.224,-0.089,0.943
1601655833874,2020-10-02T12.23.53.874,3.098,-0.222,-0.091,0.935
1601655833884,2020-10-02T12.23.53.884,3.108,-0.222,-0.090,0.930
1601655833893,2020-10-02T12.23.53.893,3.117,-0.219,-0.091,0.935
1601655833903,2020-10-02T12.23.53.903,3.127,-0.217,-0.094,0.938
1601655833913,2020-10-02T12.23.53.913,3.137,-0.235,-0.088,0.933
1601655833924,2020-10-02T12.23.53.924,3.148,-0.238,-0.081,0.948
1601655833932,2020-10-02T12.23.53.932,3.156,-0.223,-0.088,0.959
1601655833943,2020-10-02T12.23.53.943,3.167,-0.230,-0.090,0.948
1601655833953,2020-10-02T12.23.53.953,3.177,-0.236,-0.087,0.948
1601655833963,2020-10-02T12.23.53.963,3.187,-0.247,-0.085,0.954
1601655833973,2020-10-02T12.23.53.973,3.197,-0.236,-0.088,0.963
1601655833982,2020-10-02T12.23.53.982,3.206,-0.221,-0.095,0.960
1601655833992,2020-10-02T12.23.53.992,3.216,-0.227,-0.092,0.949
1601655834003,2020-10-02T12.23.54.003,3.227,-0.234,-0.083,0.948
1601655834013,2020-10-02T12.23.54.013,3.237,-0.231,-0.082,0.940
1601655834022,2020-10-02T12.23.54.022,3.246,-0.238,-0.084,0.927
1601655834032,2020-10-02T12.23.54.032,3.256,-0.240,-0.077,0.934
1601655834042,2020-10-02T12.23.54.042,3.266,-0.239,-0.077,0.944
1601655834053,2020-10-02T12.23.54.053,3.277,-0.228,-0.087,0.937
1601655834063,2020-10-02T12.23.54.063,3.287,-0.222,-0.087,0.934
1601655834072,2020-10-02T12.23.54.072,3.296,-0.237,-0.083,0.939
1601655834082,2020-10-02T12.23.54.082,3.306,-0.240,-0.083,0.953
1601655834092,2020-10-02T12.23.54.092,3.316,-0.232,-0.088,0.962
1601655834102,2020-10-02T12.23.54.102,3.326,-0.228,-0.090,0.960
1601655834113,2020-10-02T12.23.54.113,3.337,-0.227,-0.093,0.959
1601655834121,2020-10-02T12.23.54.121,3.345,-0.230,-0.092,0.948
1601655834132,2020-10-02T12.23.54.132,3.356,-0.234,-0.087,0.942
1601655834142,2020-10-02T12.23.54.142,3.366,-0.235,-0.087,0.945
1601655834152,2020-10-02T12.23.54.152,3.376,-0.232,-0.084,0.951
1601655834161,2020-10-02T12.23.54.161,3.385,-0.220,-0.089,0.950
1601655834171,2020-10-02T12.23.54.171,3.395,-0.226,-0.084,0.939
1601655834181,2020-10-02T12.23.54.181,3.405,-0.234,-0.079,0.948
1601655834192,2020-10-02T12.23.54.192,3.416,-0.232,-0.082,0.958
1601655834202,2020-10-02T12.23.54.202,3.426,-0.228,-0.089,0.955
1601655834211,2020-10-02T12.23.54.211,3.435,-0.228,-0.086,0.944
1601655834221,2020-10-02T12.23.54.221,3.445,-0.229,-0.083,0.937
1601655834231,2020-10-02T12.23.54.231,3.455,-0.223,-0.085,0.942
1601655834242,2020-10-02T12.23.54.242,3.466,-0.222,-0.086,0.940
1601655834250,2020-10-02T12.23.54.250,3.474,-0.230,-0.085,0.934
1601655834261,2020-10-02T12.23.54.261,3.485,-0.228,-0.084,0.939
1601655834271,2020-10-02T12.23.54.271,3.495,-0.224,-0.089,0.934
1601655834281,2020-10-02T12.23.54.281,3.505,-0.234,-0.092,0.926
1601655834291,2020-10-02T12.23.54.291,3.515,-0.218,-0.095,0.938
1601655834300,2020-10-02T12.23.54.300,3.524,-0.219,-0.094,0.939
1601655834310,2020-10-02T12.23.54.310,3.534,-0.232,-0.091,0.942
