epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1601655840378,2020-10-02T12.24.00.378,9.592,9.954,16.143,-10.351
1601655840388,2020-10-02T12.24.00.388,9.602,9.680,10.671,-10.351
1601655840398,2020-10-02T12.24.00.398,9.612,8.826,5.777,-7.973
1601655840407,2020-10-02T12.24.00.407,9.621,8.049,3.765,-6.037
1601655840417,2020-10-02T12.24.00.417,9.631,6.707,4.771,-4.329
1601655840428,2020-10-02T12.24.00.428,9.642,4.223,7.881,-1.159
1601655840438,2020-10-02T12.24.00.438,9.652,2.119,11.235,2.348
1601655840447,2020-10-02T12.24.00.447,9.661,0.945,12.515,4.665
1601655840457,2020-10-02T12.24.00.457,9.671,-0.213,10.305,5.549
1601655840467,2020-10-02T12.24.00.467,9.681,-0.122,6.524,5.823
1601655840477,2020-10-02T12.24.00.477,9.691,0.335,4.329,4.634
1601655840488,2020-10-02T12.24.00.488,9.702,-1.357,4.284,3.537
1601655840496,2020-10-02T12.24.00.496,9.710,-4.360,4.085,3.155
1601655840507,2020-10-02T12.24.00.507,9.721,-5.884,3.841,3.140
1601655840517,2020-10-02T12.24.00.517,9.731,-7.027,3.796,3.445
1601655840527,2020-10-02T12.24.00.527,9.741,-8.521,4.177,3.399
1601655840536,2020-10-02T12.24.00.536,9.750,-8.796,4.756,3.445
1601655840546,2020-10-02T12.24.00.546,9.760,-7.881,5.305,3.674
1601655840556,2020-10-02T12.24.00.556,9.770,-6.829,5.915,3.918
1601655840567,2020-10-02T12.24.00.567,9.781,-5.305,5.686,3.537
1601655840577,2020-10-02T12.24.00.577,9.791,-4.192,4.619,2.698
1601655840586,2020-10-02T12.24.00.586,9.800,-3.369,2.805,0.701
1601655840596,2020-10-02T12.24.00.596,9.810,-2.835,1.311,-1.159
1601655840606,2020-10-02T12.24.00.606,9.820,-3.140,0.518,-1.707
1601655840617,2020-10-02T12.24.00.617,9.831,-3.110,-0.473,-0.107
1601655840625,2020-10-02T12.24.00.625,9.839,-2.195,1.555,1.509
1601655840636,2020-10-02T12.24.00.636,9.850,-1.250,5.290,2.149
1601655840646,2020-10-02T12.24.00.646,9.860,-0.152,7.683,2.820
1601655840656,2020-10-02T12.24.00.656,9.870,0.076,9.345,3.476
1601655840666,2020-10-02T12.24.00.666,9.880,-0.137,9.970,3.689
1601655840675,2020-10-02T12.24.00.675,9.889,0.061,9.101,3.780
1601655840685,2020-10-02T12.24.00.685,9.899,0.076,7.774,3.704
1601655840696,2020-10-02T12.24.00.696,9.910,-0.320,5.854,2.759
1601655840706,2020-10-02T12.24.00.706,9.920,0.107,2.393,1.890
1601655840715,2020-10-02T12.24.00.715,9.929,0.945,-0.305,-0.412
1601655840725,2020-10-02T12.24.00.725,9.939,1.723,-1.555,-3.811
1601655840735,2020-10-02T12.24.00.735,9.949,2.957,-2.866,-6.799
1601655840745,2020-10-02T12.24.00.745,9.959,3.003,-5.198,-8.674
1601655840756,2020-10-02T12.24.00.756,9.970,-0.305,-4.055,-11.768
1601655840764,2020-10-02T12.24.00.764,9.978,-8.460,-0.274,-13.018
1601655840775,2020-10-02T12.24.00.775,9.989,-17.668,3.476,-11.326
1601655840785,2020-10-02T12.24.00.785,9.999,-26.753,6.905,-6.631
1601655840795,2020-10-02T12.24.00.795,10.009,-34.238,8.872,1.646
1601655840804,2020-10-02T12.24.00.804,10.018,-36.860,10.503,12.271
1601655840814,2020-10-02T12.24.00.814,10.028,-35.579,12.881,23.186
1601655840825,2020-10-02T12.24.00.825,10.039,-38.034,16.037,30.762
1601655840835,2020-10-02T12.24.00.835,10.049,-48.887,17.912,33.262
1601655840845,2020-10-02T12.24.00.845,10.059,-64.253,16.585,29.207
1601655840854,2020-10-02T12.24.00.854,10.068,-78.704,10.091,21.326
1601655840864,2020-10-02T12.24.00.864,10.078,-92.500,1.143,14.101
1601655840874,2020-10-02T12.24.00.874,10.088,-106.829,-5.595,8.902
1601655840885,2020-10-02T12.24.00.885,10.099,-120.701,-8.262,7.713
1601655840893,2020-10-02T12.24.00.893,10.107,-133.521,-10.457,12.180
1601655840904,2020-10-02T12.24.00.904,10.118,-142.180,-12.774,18.643
1601655840914,2020-10-02T12.24.00.914,10.128,-144.787,-14.421,23.857
1601655840924,2020-10-02T12.24.00.924,10.138,-147.348,-17.530,27.073
1601655840934,2020-10-02T12.24.00.934,10.148,-152.180,-22.043,28.720
1601655840943,2020-10-02T12.24.00.943,10.157,-158.659,-29.512,27.881
1601655840953,2020-10-02T12.24.00.953,10.167,-167.256,-40.991,24.756
1601655840964,2020-10-02T12.24.00.964,10.178,-178.643,-54.070,19.954
1601655840974,2020-10-02T12.24.00.974,10.188,-194.512,-73.186,13.902
1601655840983,2020-10-02T12.24.00.983,10.197,-210.579,-96.631,9.787
1601655840993,2020-10-02T12.24.00.993,10.207,-224.543,-112.820,9.619
1601655841003,2020-10-02T12.24.01.003,10.217,-237.744,-116.814,11.723
1601655841013,2020-10-02T12.24.01.013,10.227,-245.366,-110.960,15.351
1601655841024,2020-10-02T12.24.01.024,10.238,-247.439,-102.363,17.881
1601655841033,2020-10-02T12.24.01.033,10.247,-246.997,-92.668,16.997
1601655841043,2020-10-02T12.24.01.043,10.257,-245.320,-85.945,13.598
1601655841053,2020-10-02T12.24.01.053,10.267,-241.524,-84.421,11.890
1601655841063,2020-10-02T12.24.01.063,10.277,-240.701,-85.518,10.442
1601655841072,2020-10-02T12.24.01.072,10.286,-241.966,-85.213,9.405
1601655841082,2020-10-02T12.24.01.082,10.296,-244.314,-85.229,10.183
1601655841093,2020-10-02T12.24.01.093,10.307,-251.509,-88.384,9.985
1601655841103,2020-10-02T12.24.01.103,10.317,-259.070,-90.488,5.991
1601655841113,2020-10-02T12.24.01.113,10.327,-261.890,-87.729,-0.945
1601655841122,2020-10-02T12.24.01.122,10.336,-257.622,-83.125,-5.061
1601655841132,2020-10-02T12.24.01.132,10.346,-243.140,-81.723,-5.457
1601655841142,2020-10-02T12.24.01.142,10.356,-228.171,-84.009,-5.518
1601655841153,2020-10-02T12.24.01.153,10.367,-215.747,-78.125,-2.271
1601655841163,2020-10-02T12.24.01.163,10.377,-203.247,-71.189,6.753
1601655841172,2020-10-02T12.24.01.172,10.386,-196.631,-71.677,10.305
1601655841182,2020-10-02T12.24.01.182,10.396,-199.680,-70.564,6.555
1601655841192,2020-10-02T12.24.01.192,10.406,-207.790,-70.213,0.457
1601655841202,2020-10-02T12.24.01.202,10.416,-218.537,-76.265,-6.966
1601655841211,2020-10-02T12.24.01.211,10.425,-230.473,-81.433,-15.579
1601655841221,2020-10-02T12.24.01.221,10.435,-237.378,-85.915,-22.668
1601655841232,2020-10-02T12.24.01.232,10.446,-236.418,-86.997,-26.784
1601655841242,2020-10-02T12.24.01.242,10.456,-229.009,-84.726,-27.652
1601655841252,2020-10-02T12.24.01.252,10.466,-222.363,-82.820,-27.439
1601655841261,2020-10-02T12.24.01.261,10.475,-219.619,-82.591,-27.729
1601655841271,2020-10-02T12.24.01.271,10.485,-220.274,-81.646,-29.375
1601655841282,2020-10-02T12.24.01.282,10.496,-224.162,-79.558,-32.088
1601655841292,2020-10-02T12.24.01.292,10.506,-229.543,-77.622,-35.854
1601655841301,2020-10-02T12.24.01.301,10.515,-230.503,-76.540,-38.430
1601655841311,2020-10-02T12.24.01.311,10.525,-228.720,-77.927,-39.680
1601655841321,2020-10-02T12.24.01.321,10.535,-221.494,-84.954,-39.070
1601655841331,2020-10-02T12.24.01.331,10.545,-206.494,-92.180,-35.335
1601655841342,2020-10-02T12.24.01.342,10.556,-194.238,-95.152,-30.198
1601655841350,2020-10-02T12.24.01.350,10.564,-190.366,-95.396,-28.933
1601655841361,2020-10-02T12.24.01.361,10.575,-187.561,-89.451,-29.634
1601655841371,2020-10-02T12.24.01.371,10.585,-189.101,-79.695,-29.085
1601655841381,2020-10-02T12.24.01.381,10.595,-194.771,-73.628,-26.845
1601655841390,2020-10-02T12.24.01.390,10.604,-199.162,-74.863,-25.030
1601655841400,2020-10-02T12.24.01.400,10.614,-201.540,-79.726,-26.784
1601655841410,2020-10-02T12.24.01.410,10.624,-201.814,-84.177,-30.625
1601655841421,2020-10-02T12.24.01.421,10.635,-198.232,-87.378,-34.375
1601655841431,2020-10-02T12.24.01.431,10.645,-189.970,-95.030,-34.421
1601655841440,2020-10-02T12.24.01.440,10.654,-175.625,-105.579,-31.966
1601655841450,2020-10-02T12.24.01.450,10.664,-161.082,-115.595,-28.110
1601655841460,2020-10-02T12.24.01.460,10.674,-155.640,-120.945,-27.759
1601655841471,2020-10-02T12.24.01.471,10.685,-159.299,-119.604,-31.052
1601655841479,2020-10-02T12.24.01.479,10.693,-166.418,-113.796,-33.857
1601655841490,2020-10-02T12.24.01.490,10.704,-173.704,-107.043,-35.564
1601655841500,2020-10-02T12.24.01.500,10.714,-176.189,-99.284,-37.470
1601655841510,2020-10-02T12.24.01.510,10.724,-171.951,-93.415,-39.207
1601655841520,2020-10-02T12.24.01.520,10.734,-161.341,-90.168,-38.857
1601655841529,2020-10-02T12.24.01.529,10.743,-136.143,-86.936,-35.595
1601655841539,2020-10-02T12.24.01.539,10.753,-101.631,-80.183,-33.247
1601655841550,2020-10-02T12.24.01.550,10.764,-69.177,-65.076,-32.805
1601655841560,2020-10-02T12.24.01.560,10.774,-44.390,-47.454,-32.576
1601655841569,2020-10-02T12.24.01.569,10.783,-25.579,-32.973,-30.518
1601655841579,2020-10-02T12.24.01.579,10.793,-11.570,-21.677,-23.765
1601655841589,2020-10-02T12.24.01.589,10.803,0.854,-9.009,-16.250
1601655841599,2020-10-02T12.24.01.599,10.813,14.832,3.780,-9.817
1601655841610,2020-10-02T12.24.01.610,10.824,30.320,10.976,-3.323
1601655841618,2020-10-02T12.24.01.618,10.832,43.110,14.634,3.491
1601655841629,2020-10-02T12.24.01.629,10.843,50.762,18.948,9.726
1601655841639,2020-10-02T12.24.01.639,10.853,55.366,23.369,16.067
1601655841649,2020-10-02T12.24.01.649,10.863,59.909,28.491,22.363
1601655841658,2020-10-02T12.24.01.658,10.872,63.262,35.930,28.445
1601655841668,2020-10-02T12.24.01.668,10.882,66.311,43.430,34.238
1601655841679,2020-10-02T12.24.01.679,10.893,71.220,47.058,38.750
1601655841689,2020-10-02T12.24.01.689,10.903,78.095,47.835,41.601
1601655841699,2020-10-02T12.24.01.699,10.913,85.137,45.976,43.293
1601655841708,2020-10-02T12.24.01.708,10.922,91.601,44.131,41.966
1601655841718,2020-10-02T12.24.01.718,10.932,98.994,42.652,39.619
1601655841728,2020-10-02T12.24.01.728,10.942,108.262,43.750,37.470
1601655841739,2020-10-02T12.24.01.739,10.953,117.287,47.287,35.655
1601655841747,2020-10-02T12.24.01.747,10.961,126.326,49.436,34.985
1601655841758,2020-10-02T12.24.01.758,10.972,134.131,51.814,35.610
1601655841768,2020-10-02T12.24.01.768,10.982,136.723,56.372,36.585
1601655841778,2020-10-02T12.24.01.778,10.992,135.564,61.555,37.134
1601655841788,2020-10-02T12.24.01.788,11.002,137.409,67.119,37.561
1601655841797,2020-10-02T12.24.01.797,11.011,145.290,71.494,37.546
1601655841807,2020-10-02T12.24.01.807,11.021,154.436,73.369,37.027
1601655841818,2020-10-02T12.24.01.818,11.032,163.735,72.942,33.948
1601655841828,2020-10-02T12.24.01.828,11.042,173.247,71.052,30.198
1601655841837,2020-10-02T12.24.01.837,11.051,181.936,69.909,27.332
1601655841847,2020-10-02T12.24.01.847,11.061,187.104,73.354,25.381
1601655841857,2020-10-02T12.24.01.857,11.071,187.896,78.689,23.826
1601655841867,2020-10-02T12.24.01.867,11.081,187.119,83.796,21.113
1601655841878,2020-10-02T12.24.01.878,11.092,185.000,86.448,17.912
1601655841887,2020-10-02T12.24.01.887,11.101,183.902,84.756,15.183
1601655841897,2020-10-02T12.24.01.897,11.111,185.274,82.454,12.256
1601655841907,2020-10-02T12.24.01.907,11.121,189.207,79.726,8.857
1601655841917,2020-10-02T12.24.01.917,11.131,193.476,76.738,3.918
1601655841926,2020-10-02T12.24.01.926,11.140,199.573,76.662,-0.320
1601655841936,2020-10-02T12.24.01.936,11.150,205.686,78.018,-0.107
1601655841947,2020-10-02T12.24.01.947,11.161,211.159,83.171,2.546
1601655841957,2020-10-02T12.24.01.957,11.171,213.704,92.332,9.131
1601655841967,2020-10-02T12.24.01.967,11.181,214.055,104.665,17.332
1601655841976,2020-10-02T12.24.01.976,11.190,213.979,117.180,24.741
1601655841986,2020-10-02T12.24.01.986,11.200,215.274,122.957,29.771
1601655841996,2020-10-02T12.24.01.996,11.210,215.808,119.863,30.762
1601655842007,2020-10-02T12.24.02.007,11.221,215.762,115.457,28.826
1601655842017,2020-10-02T12.24.02.017,11.231,215.655,116.357,26.631
1601655842026,2020-10-02T12.24.02.026,11.240,215.244,115.945,25.122
1601655842036,2020-10-02T12.24.02.036,11.250,220.274,113.430,24.162
1601655842046,2020-10-02T12.24.02.046,11.260,228.079,111.082,25.701
1601655842056,2020-10-02T12.24.02.056,11.270,230.366,104.954,27.576
1601655842065,2020-10-02T12.24.02.065,11.279,224.832,97.226,28.018
1601655842075,2020-10-02T12.24.02.075,11.289,216.128,94.207,28.430
1601655842086,2020-10-02T12.24.02.086,11.300,207.363,90.534,27.835
1601655842096,2020-10-02T12.24.02.096,11.310,201.463,80.549,23.643
1601655842106,2020-10-02T12.24.02.106,11.320,202.927,70.183,17.774
1601655842115,2020-10-02T12.24.02.115,11.329,208.095,71.905,11.860
1601655842125,2020-10-02T12.24.02.125,11.339,219.177,84.162,13.338
1601655842136,2020-10-02T12.24.02.136,11.350,241.570,95.488,27.515
1601655842146,2020-10-02T12.24.02.146,11.360,265.671,101.829,46.585
1601655842155,2020-10-02T12.24.02.155,11.369,288.338,104.375,63.963
1601655842165,2020-10-02T12.24.02.165,11.379,307.180,104.512,79.848
1601655842175,2020-10-02T12.24.02.175,11.389,307.774,100.046,84.131
1601655842185,2020-10-02T12.24.02.185,11.399,290.076,91.631,74.390
1601655842196,2020-10-02T12.24.02.196,11.410,266.845,79.543,63.003
1601655842204,2020-10-02T12.24.02.204,11.418,247.607,67.774,48.796
1601655842215,2020-10-02T12.24.02.215,11.429,228.521,55.076,33.780
1601655842225,2020-10-02T12.24.02.225,11.439,211.463,39.802,23.095
1601655842235,2020-10-02T12.24.02.235,11.449,202.622,30.183,13.460
1601655842244,2020-10-02T12.24.02.244,11.458,197.439,25.015,5.229
1601655842254,2020-10-02T12.24.02.254,11.468,191.799,18.841,-1.220
1601655842264,2020-10-02T12.24.02.264,11.478,185.579,14.024,-8.079
1601655842275,2020-10-02T12.24.02.275,11.489,179.192,13.735,-14.543
1601655842285,2020-10-02T12.24.02.285,11.499,171.997,17.195,-19.649
1601655842294,2020-10-02T12.24.02.294,11.508,166.052,22.866,-22.180
1601655842304,2020-10-02T12.24.02.304,11.518,162.759,29.771,-23.765
1601655842314,2020-10-02T12.24.02.314,11.528,162.363,32.393,-23.659
1601655842325,2020-10-02T12.24.02.325,11.539,162.668,24.680,-21.951
1601655842333,2020-10-02T12.24.02.333,11.547,160.320,12.820,-22.988
1601655842344,2020-10-02T12.24.02.344,11.558,157.195,4.863,-24.101
1601655842354,2020-10-02T12.24.02.354,11.568,155.427,1.524,-24.223
1601655842364,2020-10-02T12.24.02.364,11.578,152.744,1.357,-24.634
1601655842374,2020-10-02T12.24.02.374,11.588,150.884,0.229,-23.369
1601655842383,2020-10-02T12.24.02.383,11.597,151.418,-2.043,-19.527
1601655842393,2020-10-02T12.24.02.393,11.607,152.043,-3.095,-13.293
1601655842404,2020-10-02T12.24.02.404,11.618,149.878,1.433,-6.829
1601655842414,2020-10-02T12.24.02.414,11.628,142.866,12.195,-3.811
1601655842423,2020-10-02T12.24.02.423,11.637,129.238,22.744,-4.207
1601655842433,2020-10-02T12.24.02.433,11.647,110.396,27.149,-3.857
1601655842443,2020-10-02T12.24.02.443,11.657,91.159,25.244,-2.774
1601655842453,2020-10-02T12.24.02.453,11.667,73.765,19.314,-0.213
1601655842464,2020-10-02T12.24.02.464,11.678,56.646,13.674,2.881
1601655842472,2020-10-02T12.24.02.472,11.686,39.832,9.817,4.543
1601655842483,2020-10-02T12.24.02.483,11.697,24.299,5.046,4.085
1601655842493,2020-10-02T12.24.02.493,11.707,8.796,-0.274,2.088
1601655842503,2020-10-02T12.24.02.503,11.717,-7.973,-6.021,-1.570
1601655842512,2020-10-02T12.24.02.512,11.726,-24.253,-11.890,-5.122
1601655842522,2020-10-02T12.24.02.522,11.736,-37.546,-15.930,-7.851
1601655842533,2020-10-02T12.24.02.533,11.747,-47.759,-17.271,-8.384
1601655842543,2020-10-02T12.24.02.543,11.757,-55.579,-17.180,-8.354
1601655842553,2020-10-02T12.24.02.553,11.767,-60.396,-17.927,-9.436
1601655842562,2020-10-02T12.24.02.562,11.776,-60.793,-18.399,-9.116
1601655842572,2020-10-02T12.24.02.572,11.786,-57.454,-17.607,-8.598
1601655842582,2020-10-02T12.24.02.582,11.796,-53.399,-15.046,-7.424
1601655842593,2020-10-02T12.24.02.593,11.807,-48.506,-11.753,-5.808
1601655842601,2020-10-02T12.24.02.601,11.815,-42.622,-8.811,-5.457
1601655842612,2020-10-02T12.24.02.612,11.826,-35.351,-6.463,-5.213
1601655842622,2020-10-02T12.24.02.622,11.836,-27.866,-2.851,-4.848
1601655842632,2020-10-02T12.24.02.632,11.846,-20.503,0.579,-4.588
1601655842642,2020-10-02T12.24.02.642,11.856,-12.546,2.012,-4.405
1601655842651,2020-10-02T12.24.02.651,11.865,-4.817,2.591,-3.628
1601655842661,2020-10-02T12.24.02.661,11.875,1.845,3.308,-1.753
1601655842672,2020-10-02T12.24.02.672,11.886,6.905,4.695,0.351
1601655842682,2020-10-02T12.24.02.682,11.896,10.777,6.067,1.768
1601655842691,2020-10-02T12.24.02.691,11.905,14.192,6.220,2.546
1601655842701,2020-10-02T12.24.02.701,11.915,16.921,5.518,2.881
1601655842711,2020-10-02T12.24.02.711,11.925,18.628,5.930,1.631
1601655842721,2020-10-02T12.24.02.721,11.935,19.009,6.966,-0.015
1601655842732,2020-10-02T12.24.02.732,11.946,20.381,7.058,-0.534
1601655842741,2020-10-02T12.24.02.741,11.955,21.387,6.524,-0.168
1601655842751,2020-10-02T12.24.02.751,11.965,19.985,6.098,0.107
1601655842761,2020-10-02T12.24.02.761,11.975,17.134,5.396,0.732
1601655842771,2020-10-02T12.24.02.771,11.985,13.857,4.832,2.241
1601655842780,2020-10-02T12.24.02.780,11.994,10.625,3.567,3.811
1601655842790,2020-10-02T12.24.02.790,12.004,7.668,1.814,3.826
1601655842801,2020-10-02T12.24.02.801,12.015,5.137,1.250,2.652
1601655842811,2020-10-02T12.24.02.811,12.025,1.159,2.134,1.402
1601655842821,2020-10-02T12.24.02.821,12.035,-2.515,2.744,-0.183
1601655842830,2020-10-02T12.24.02.830,12.044,-5.076,3.186,-1.235
1601655842840,2020-10-02T12.24.02.840,12.054,-6.341,3.186,-0.793
1601655842850,2020-10-02T12.24.02.850,12.064,-5.732,1.357,0.732
1601655842861,2020-10-02T12.24.02.861,12.075,-4.055,-1.143,2.073
1601655842871,2020-10-02T12.24.02.871,12.085,-3.018,-2.073,1.570
1601655842880,2020-10-02T12.24.02.880,12.094,-2.424,-1.753,0.259
1601655842890,2020-10-02T12.24.02.890,12.104,-2.591,-0.777,0.777
1601655842900,2020-10-02T12.24.02.900,12.114,-5.595,2.835,2.134
1601655842910,2020-10-02T12.24.02.910,12.124,-7.805,6.113,2.043
1601655842919,2020-10-02T12.24.02.919,12.133,-7.454,6.890,2.957
1601655842929,2020-10-02T12.24.02.929,12.143,-5.000,6.951,4.573
1601655842940,2020-10-02T12.24.02.940,12.154,-2.515,6.357,4.634
1601655842950,2020-10-02T12.24.02.950,12.164,-0.366,4.924,3.994
1601655842960,2020-10-02T12.24.02.960,12.174,0.534,4.314,3.506
1601655842969,2020-10-02T12.24.02.969,12.183,1.067,4.558,3.171
1601655842979,2020-10-02T12.24.02.979,12.193,2.195,3.948,2.698
1601655842990,2020-10-02T12.24.02.990,12.204,3.887,1.921,2.165
1601655843000,2020-10-02T12.24.03.000,12.214,4.832,0.686,1.921
1601655843009,2020-10-02T12.24.03.009,12.223,5.030,1.463,1.905
1601655843019,2020-10-02T12.24.03.019,12.233,5.107,3.155,1.814
1601655843029,2020-10-02T12.24.03.029,12.243,4.817,4.802,0.549
1601655843039,2020-10-02T12.24.03.039,12.253,4.314,5.351,-1.021
1601655843050,2020-10-02T12.24.03.050,12.264,4.878,5.412,-3.902
1601655843058,2020-10-02T12.24.03.058,12.272,6.784,4.405,-4.253
1601655843069,2020-10-02T12.24.03.069,12.283,11.631,4.466,-3.582
1601655843079,2020-10-02T12.24.03.079,12.293,17.835,6.082,-4.817
1601655843089,2020-10-02T12.24.03.089,12.303,26.021,5.808,-5.259
1601655843098,2020-10-02T12.24.03.098,12.312,33.704,4.421,-5.976
1601655843108,2020-10-02T12.24.03.108,12.322,41.311,4.985,-7.500
1601655843118,2020-10-02T12.24.03.118,12.332,42.409,5.168,-8.064
1601655843129,2020-10-02T12.24.03.129,12.343,35.381,7.485,-6.372
1601655843139,2020-10-02T12.24.03.139,12.353,22.393,11.006,-2.470
1601655843148,2020-10-02T12.24.03.148,12.362,2.866,14.817,5.137
1601655843158,2020-10-02T12.24.03.158,12.372,-18.476,18.262,12.896
1601655843168,2020-10-02T12.24.03.168,12.382,-37.317,16.707,17.622
1601655843179,2020-10-02T12.24.03.179,12.393,-55.793,11.723,19.253
1601655843187,2020-10-02T12.24.03.187,12.401,-73.216,5.320,19.893
1601655843198,2020-10-02T12.24.03.198,12.412,-88.095,0.076,20.549
1601655843208,2020-10-02T12.24.03.208,12.422,-100.534,-1.067,20.777
1601655843218,2020-10-02T12.24.03.218,12.432,-110.762,0.884,18.902
1601655843228,2020-10-02T12.24.03.228,12.442,-118.567,2.973,18.308
1601655843237,2020-10-02T12.24.03.237,12.451,-125.945,3.277,18.963
1601655843247,2020-10-02T12.24.03.247,12.461,-132.088,1.174,17.851
1601655843258,2020-10-02T12.24.03.258,12.472,-139.756,-0.518,18.933
1601655843268,2020-10-02T12.24.03.268,12.482,-152.561,-3.308,20.427
1601655843277,2020-10-02T12.24.03.277,12.491,-168.735,-6.601,20.229
1601655843287,2020-10-02T12.24.03.287,12.501,-184.771,-10.061,16.860
1601655843297,2020-10-02T12.24.03.297,12.511,-198.354,-13.994,14.238
1601655843307,2020-10-02T12.24.03.307,12.521,-205.976,-17.515,12.652
1601655843318,2020-10-02T12.24.03.318,12.532,-210.640,-20.655,10.915
1601655843326,2020-10-02T12.24.03.326,12.540,-217.393,-25.396,7.287
1601655843337,2020-10-02T12.24.03.337,12.551,-224.787,-28.293,2.180
1601655843347,2020-10-02T12.24.03.347,12.561,-229.024,-31.280,-0.793
1601655843357,2020-10-02T12.24.03.357,12.571,-228.369,-35.381,-0.213
1601655843366,2020-10-02T12.24.03.366,12.580,-228.750,-42.058,-0.808
1601655843376,2020-10-02T12.24.03.376,12.590,-230.869,-49.710,-3.186
1601655843387,2020-10-02T12.24.03.387,12.601,-232.698,-54.223,-6.235
1601655843397,2020-10-02T12.24.03.397,12.611,-236.006,-55.991,-10.229
1601655843407,2020-10-02T12.24.03.407,12.621,-241.113,-54.009,-14.390
1601655843416,2020-10-02T12.24.03.416,12.630,-246.189,-48.659,-19.314
1601655843426,2020-10-02T12.24.03.426,12.640,-249.787,-41.159,-24.207
1601655843436,2020-10-02T12.24.03.436,12.650,-253.720,-40.457,-29.253
1601655843447,2020-10-02T12.24.03.447,12.661,-254.360,-45.396,-32.729
1601655843455,2020-10-02T12.24.03.455,12.669,-251.799,-53.323,-36.143
1601655843466,2020-10-02T12.24.03.466,12.680,-248.765,-61.113,-39.512
1601655843476,2020-10-02T12.24.03.476,12.690,-248.140,-68.963,-44.924
1601655843486,2020-10-02T12.24.03.486,12.700,-248.460,-74.253,-50.473
1601655843496,2020-10-02T12.24.03.496,12.710,-248.171,-74.619,-54.207
1601655843505,2020-10-02T12.24.03.505,12.719,-247.698,-75.640,-56.052
1601655843515,2020-10-02T12.24.03.515,12.729,-245.716,-73.887,-56.921
1601655843526,2020-10-02T12.24.03.526,12.740,-239.223,-73.247,-53.567
1601655843536,2020-10-02T12.24.03.536,12.750,-230.564,-73.186,-48.506
1601655843545,2020-10-02T12.24.03.545,12.759,-225.655,-71.723,-45.808
1601655843555,2020-10-02T12.24.03.555,12.769,-224.665,-69.405,-45.610
1601655843565,2020-10-02T12.24.03.565,12.779,-223.201,-62.881,-47.988
1601655843575,2020-10-02T12.24.03.575,12.789,-223.216,-57.454,-49.878
1601655843586,2020-10-02T12.24.03.586,12.800,-225.091,-59.207,-51.738
1601655843595,2020-10-02T12.24.03.595,12.809,-224.360,-61.235,-54.131
1601655843605,2020-10-02T12.24.03.605,12.819,-217.988,-55.107,-56.006
1601655843615,2020-10-02T12.24.03.615,12.829,-209.848,-45.122,-57.988
1601655843625,2020-10-02T12.24.03.625,12.839,-205.884,-41.921,-58.948
1601655843634,2020-10-02T12.24.03.634,12.848,-204.085,-46.143,-57.668
1601655843644,2020-10-02T12.24.03.644,12.858,-197.256,-52.302,-52.576
1601655843655,2020-10-02T12.24.03.655,12.869,-188.674,-60.625,-45.488
1601655843665,2020-10-02T12.24.03.665,12.879,-183.582,-67.165,-40.518
1601655843675,2020-10-02T12.24.03.675,12.889,-184.954,-67.622,-38.704
1601655843684,2020-10-02T12.24.03.684,12.898,-189.223,-62.119,-39.375
1601655843694,2020-10-02T12.24.03.694,12.908,-193.430,-52.378,-40.823
1601655843704,2020-10-02T12.24.03.704,12.918,-195.244,-45.884,-41.204
1601655843715,2020-10-02T12.24.03.715,12.929,-196.159,-45.930,-39.680
1601655843723,2020-10-02T12.24.03.723,12.937,-196.265,-53.445,-37.134
1601655843734,2020-10-02T12.24.03.734,12.948,-194.985,-62.729,-37.210
1601655843744,2020-10-02T12.24.03.744,12.958,-195.564,-72.149,-36.479
1601655843754,2020-10-02T12.24.03.754,12.968,-196.585,-85.701,-34.665
1601655843764,2020-10-02T12.24.03.764,12.978,-197.271,-100.823,-32.424
1601655843773,2020-10-02T12.24.03.773,12.987,-196.463,-117.851,-27.622
1601655843783,2020-10-02T12.24.03.783,12.997,-193.963,-129.710,-19.345
1601655843794,2020-10-02T12.24.03.794,13.008,-195.838,-131.860,-4.848
1601655843804,2020-10-02T12.24.03.804,13.018,-202.241,-125.549,11.631
1601655843813,2020-10-02T12.24.03.813,13.027,-202.485,-111.082,25.168
1601655843823,2020-10-02T12.24.03.823,13.037,-182.652,-85.137,32.287
1601655843833,2020-10-02T12.24.03.833,13.047,-138.659,-59.832,31.905
1601655843844,2020-10-02T12.24.03.844,13.058,-79.771,-45.168,24.040
1601655843854,2020-10-02T12.24.03.854,13.068,-16.113,-37.973,13.857
1601655843863,2020-10-02T12.24.03.863,13.077,34.604,-29.253,5.259
1601655843873,2020-10-02T12.24.03.873,13.087,61.662,-13.323,2.287
1601655843883,2020-10-02T12.24.03.883,13.097,73.262,6.387,5.762
1601655843893,2020-10-02T12.24.03.893,13.107,81.677,22.378,9.665
1601655843904,2020-10-02T12.24.03.904,13.118,91.052,29.665,11.021
1601655843912,2020-10-02T12.24.03.912,13.126,100.427,27.454,9.649
1601655843923,2020-10-02T12.24.03.923,13.137,109.649,19.665,6.662
1601655843933,2020-10-02T12.24.03.933,13.147,115.366,12.424,4.131
1601655843943,2020-10-02T12.24.03.943,13.157,114.985,10.137,3.293
1601655843952,2020-10-02T12.24.03.952,13.166,110.793,10.427,5.793
1601655843962,2020-10-02T12.24.03.962,13.176,104.680,11.159,11.616
