epoc (ms),C_Gx,C_Gy,C_Gz,C_Ax,C_Ay,C_Az
1601655830786,0.64,0.457,0.198,-0.24,-0.07,0.9440000000000001
1601655830795,0.8079999999999999,0.579,0.96,-0.23600000000000002,-0.081,0.945
1601655830805,2.47,2.454,0.991,-0.245,-0.08900000000000001,0.948
1601655830815,3.6889999999999996,2.515,0.976,-0.261,-0.08199999999999999,0.972
1601655830825,0.6859999999999999,-0.899,-0.076,-0.252,-0.083,0.988
1601655830836,-3.3689999999999998,-2.9419999999999997,-1.113,-0.225,-0.094,0.971
1601655830845,-3.5060000000000002,-2.165,-0.579,-0.22,-0.086,0.946
1601655830855,-2.6830000000000003,-0.732,0.22899999999999998,-0.233,-0.07200000000000001,0.9390000000000001
