epoc (ms),C_Gx,C_Gy,C_Gz,C_Ax,C_Ay,C_Az,Activity
1601655831600,-1.418,-0.183,0.915,-0.245,-0.07,0.932,Unknown
1601655831609,-0.93,-0.93,0.625,-0.239,-0.07,0.929,Unknown
1601655831619,0.396,-0.076,0.823,-0.226,-0.071,0.937,Unknown
1601655831630,2.073,0.838,0.488,-0.239,-0.065,0.937,Unknown
1601655831640,0.899,-1.448,-0.442,-0.247,-0.068,0.939,Unknown
1601655831649,-0.442,-3.872,-1.189,-0.234,-0.073,0.947,Unknown
1601655831659,-0.945,-3.171,-0.488,-0.22,-0.08,0.94,Unknown
1601655831669,0.335,-0.137,0.96,-0.225,-0.077,0.936,Unknown
1601655831679,1.372,2.637,1.997,-0.237,-0.072,0.94,Unknown
1601655831690,1.738,3.186,1.723,-0.245,-0.071,0.946,Unknown
1601655831699,1.601,1.143,0.091,-0.252,-0.068,0.954,Unknown
1601655831709,-0.671,-1.616,-1.433,-0.242,-0.078,0.957,Unknown
1601655831719,-2.561,-3.232,-1.768,-0.225,-0.089,0.959,Unknown
1601655831729,-2.073,-1.966,-0.838,-0.221,-0.089,0.953,Unknown
1601655831738,-0.351,0.777,0.518,-0.227,-0.085,0.95,Unknown
1601655831748,0.503,2.18,1.601,-0.236,-0.08,0.956,Unknown
1601655831759,-0.061,2.058,1.433,-0.245,-0.08,0.952,Unknown
1601655831769,-0.96,0.198,0.488,-0.241,-0.083,0.962,Unknown
1601655831779,-2.363,-0.625,-0.015,-0.233,-0.084,0.958,Unknown
1601655831788,-2.424,0.274,0.381,-0.235,-0.08,0.941,Unknown
1601655831798,-1.601,0.93,0.884,-0.24,-0.073,0.936,Unknown
1601655831808,-0.671,1.936,1.128,-0.237,-0.072,0.934,Unknown
1601655831819,0.0,2.759,1.159,-0.232,-0.071,0.932,Unknown
1601655831827,0.366,2.058,1.052,-0.229,-0.07,0.932,Unknown
1601655831838,-0.534,-0.625,0.152,-0.236,-0.073,0.932,Unknown
1601655831848,-1.113,-2.713,-0.823,-0.235,-0.075,0.932,Unknown
1601655831858,-0.93,-3.277,-0.884,-0.232,-0.076,0.938,Unknown
1601655831868,-0.549,-2.546,-0.427,-0.237,-0.074,0.948,Unknown
1601655831877,-0.244,-1.113,-0.229,-0.248,-0.073,0.958,Unknown
1601655831887,-0.777,-0.838,-0.488,-0.247,-0.075,0.959,Unknown
1601655831898,-1.402,-1.235,-0.686,-0.24,-0.082,0.962,Unknown
1601655831908,-1.021,0.686,-0.213,-0.233,-0.085,0.955,Unknown
1601655831917,-0.366,2.348,0.488,-0.232,-0.085,0.949,Unknown
1601655831927,-0.183,2.607,0.808,-0.237,-0.082,0.945,Unknown
1601655831937,-0.716,1.616,0.716,-0.229,-0.078,0.945,Unknown
1601655831948,-0.655,1.784,0.549,-0.223,-0.079,0.935,Unknown
1601655831958,-0.732,1.067,0.579,-0.233,-0.076,0.924,Unknown
1601655831967,-0.64,-1.189,-0.152,-0.237,-0.073,0.93,Unknown
1601655831977,-0.793,-1.936,-0.671,-0.224,-0.08,0.938,Unknown
1601655831987,0.0,-1.174,-0.427,-0.226,-0.085,0.937,Unknown
1601655831997,0.412,-0.442,0.152,-0.227,-0.083,0.95,Unknown
1601655832006,0.396,0.595,0.427,-0.23,-0.082,0.958,Unknown
1601655832016,-0.152,0.534,0.488,-0.239,-0.084,0.954,Unknown
1601655832027,-0.259,-0.96,0.366,-0.24,-0.081,0.959,Unknown
1601655832037,-1.082,-1.494,0.777,-0.239,-0.077,0.968,Unknown
1601655832047,-1.723,-0.137,1.128,-0.245,-0.072,0.958,Unknown
1601655832056,-1.814,0.96,1.143,-0.248,-0.069,0.949,Unknown
1601655832066,-1.784,1.296,0.884,-0.242,-0.072,0.945,Unknown
1601655832076,-1.28,0.64,0.381,-0.243,-0.072,0.94,Unknown
1601655832087,-1.25,0.671,0.32,-0.234,-0.075,0.941,Unknown
1601655832096,-0.503,2.409,0.473,-0.236,-0.072,0.934,Unknown
1601655832106,-0.122,1.357,-0.015,-0.245,-0.069,0.933,Unknown
1601655832116,-0.823,-0.945,-0.884,-0.228,-0.074,0.945,Unknown
1601655832126,-0.869,0.351,-0.671,-0.219,-0.083,0.935,Unknown
1601655832137,0.762,1.509,-0.305,-0.239,-0.08,0.923,Unknown
1601655832145,1.037,-0.762,-0.503,-0.245,-0.074,0.944,Unknown
1601655832156,-0.091,-1.631,-0.595,-0.232,-0.083,0.956,Unknown
1601655832166,-0.213,-0.747,-0.046,-0.23,-0.089,0.949,Unknown
1601655832176,-0.015,0.274,0.534,-0.232,-0.085,0.952,Unknown
1601655832185,-0.061,1.89,0.747,-0.23,-0.083,0.953,Unknown
1601655832195,-0.351,2.622,1.006,-0.228,-0.087,0.948,Unknown
1601655832205,0.015,2.576,1.235,-0.238,-0.084,0.94,Unknown
1601655832216,-0.351,0.534,0.96,-0.238,-0.077,0.946,Unknown
1601655832226,-0.945,-0.777,0.335,-0.232,-0.083,0.951,Unknown
1601655832235,-0.29,-0.366,0.03,-0.235,-0.087,0.947,Unknown
1601655832245,-0.061,-0.595,0.305,-0.235,-0.081,0.95,Unknown
1601655832255,-0.457,-1.341,0.091,-0.239,-0.078,0.947,Unknown
1601655832265,-0.534,-1.814,-0.198,-0.238,-0.078,0.948,Unknown
1601655832274,-0.686,-1.54,-0.122,-0.229,-0.078,0.952,Unknown
1601655832284,-0.396,0.549,0.381,-0.232,-0.077,0.946,Unknown
1601655832295,-0.046,2.195,0.701,-0.233,-0.073,0.945,Unknown
1601655832305,-0.427,2.058,0.808,-0.231,-0.071,0.949,Unknown
1601655832315,-0.671,1.646,0.915,-0.239,-0.072,0.947,Unknown
1601655832324,-0.838,0.427,0.595,-0.246,-0.069,0.945,Unknown
1601655832334,-1.463,-1.753,-0.198,-0.241,-0.072,0.948,Unknown
1601655832345,-1.799,-1.616,-0.518,-0.238,-0.078,0.948,Unknown
1601655832355,-1.143,-0.945,-0.183,-0.228,-0.08,0.943,Unknown
1601655832364,-0.61,0.244,0.183,-0.224,-0.088,0.934,Unknown
1601655832374,0.091,0.518,0.854,-0.233,-0.08,0.948,Unknown
1601655832384,-0.686,0.655,1.235,-0.239,-0.073,0.955,Unknown
1601655832394,-1.189,1.86,1.387,-0.235,-0.071,0.943,Unknown
1601655832405,-1.037,1.829,1.22,-0.236,-0.07,0.936,Unknown
1601655832413,-1.677,0.091,0.854,-0.232,-0.081,0.939,Unknown
1601655832424,-1.494,1.372,1.387,-0.232,-0.089,0.947,Unknown
1601655832434,-0.457,2.744,1.707,-0.244,-0.084,0.948,Unknown
1601655832444,-0.808,0.915,1.387,-0.247,-0.08,0.95,Unknown
1601655832454,-1.601,-0.229,1.082,-0.238,-0.083,0.957,Unknown
1601655832463,-1.479,1.677,1.479,-0.235,-0.079,0.953,Unknown
1601655832473,-0.869,2.515,2.271,-0.242,-0.068,0.951,Unknown
1601655832484,-1.951,0.381,1.753,-0.25,-0.062,0.948,Unknown
1601655832494,-4.787,-4.345,0.29,-0.248,-0.076,0.938,Unknown
1601655832503,-0.595,-4.085,-2.149,-0.23,-0.081,0.925,Unknown
1601655832513,0.777,-3.201,-2.317,-0.225,-0.071,0.937,Unknown
1601655832523,-0.564,-4.375,-2.668,-0.225,-0.082,0.939,Unknown
1601655832533,-0.381,-2.744,-2.82,-0.235,-0.086,0.94,Unknown
1601655832542,-0.03,-4.055,-1.86,-0.216,-0.084,0.951,Unknown
1601655832553,-0.945,-2.82,-1.296,-0.222,-0.093,0.944,Unknown
1601655832563,0.198,-1.128,-0.503,-0.234,-0.085,0.953,Unknown
1601655832573,-1.113,-1.753,-0.152,-0.234,-0.087,0.966,Unknown
1601655832583,-1.829,-0.793,0.076,-0.232,-0.094,0.961,Unknown
1601655832592,-1.22,0.259,0.427,-0.23,-0.09,0.965,Unknown
1601655832602,-1.113,2.073,0.976,-0.229,-0.088,0.957,Unknown
1601655832613,-0.518,3.216,1.235,-0.242,-0.078,0.946,Unknown
1601655832623,-0.686,2.409,1.006,-0.245,-0.075,0.951,Unknown
1601655832633,-0.732,2.165,0.274,-0.235,-0.08,0.951,Unknown
1601655832642,-1.159,2.485,0.442,-0.221,-0.083,0.946,Unknown
1601655832652,-1.448,2.027,0.93,-0.227,-0.081,0.935,Unknown
1601655832662,-1.921,-0.549,0.686,-0.23,-0.08,0.933,Unknown
1601655832673,-1.829,-2.119,0.351,-0.233,-0.079,0.931,Unknown
1601655832681,-1.326,-1.768,0.64,-0.233,-0.076,0.935,Unknown
1601655832692,-0.686,-0.229,0.884,-0.24,-0.07,0.942,Unknown
1601655832702,-0.869,0.396,0.625,-0.248,-0.067,0.941,Unknown
1601655832712,-1.021,0.107,0.046,-0.243,-0.067,0.94,Unknown
1601655832722,-1.235,0.488,-0.259,-0.234,-0.073,0.941,Unknown
1601655832731,-0.655,0.96,-0.305,-0.232,-0.082,0.942,Unknown
1601655832742,0.29,0.976,-0.259,-0.23,-0.085,0.956,Unknown
1601655832752,0.442,1.692,0.076,-0.228,-0.086,0.959,Unknown
1601655832762,-0.198,1.021,0.259,-0.237,-0.087,0.953,Unknown
1601655832771,-0.854,-1.143,-0.351,-0.246,-0.08,0.95,Unknown
1601655832781,-2.134,-2.698,-0.838,-0.233,-0.082,0.95,Unknown
1601655832791,-1.524,-1.555,-0.945,-0.234,-0.082,0.944,Unknown
1601655832802,-0.838,-0.991,-1.021,-0.24,-0.079,0.938,Unknown
1601655832812,-0.686,-0.838,-1.372,-0.235,-0.083,0.942,Unknown
1601655832821,-0.152,0.015,-1.585,-0.236,-0.088,0.935,Unknown
1601655832831,-0.091,-1.082,-1.524,-0.234,-0.084,0.945,Unknown
1601655832841,-1.067,-2.409,-1.555,-0.233,-0.081,0.947,Unknown
1601655832851,-2.104,-2.744,-1.692,-0.231,-0.085,0.944,Unknown
1601655832860,-1.707,-1.829,-1.25,-0.215,-0.084,0.942,Unknown
1601655832870,-0.686,-0.183,-0.61,-0.209,-0.088,0.937,Unknown
1601655832881,0.152,1.494,0.747,-0.207,-0.094,0.943,Unknown
1601655832891,1.052,3.598,1.982,-0.22,-0.093,0.95,Unknown
1601655832901,1.006,2.546,1.845,-0.236,-0.086,0.951,Unknown
1601655832910,-0.671,1.082,1.463,-0.23,-0.087,0.951,Unknown
1601655832920,-0.899,0.976,0.808,-0.232,-0.084,0.942,Unknown
1601655832930,-1.28,-0.884,-0.03,-0.242,-0.083,0.942,Unknown
1601655832941,-1.326,-1.799,-0.351,-0.233,-0.082,0.953,Unknown
1601655832950,-1.021,-0.64,0.015,-0.225,-0.086,0.953,Unknown
1601655832960,-0.152,-0.122,0.534,-0.224,-0.085,0.953,Unknown
1601655832970,-0.061,0.0,0.655,-0.231,-0.08,0.957,Unknown
1601655832980,-1.707,-1.418,0.366,-0.228,-0.083,0.951,Unknown
1601655832991,-1.814,-1.372,0.564,-0.219,-0.089,0.94,Unknown
1601655832999,-0.076,0.259,0.762,-0.235,-0.077,0.929,Unknown
1601655833010,-0.061,-1.006,0.579,-0.239,-0.074,0.941,Unknown
1601655833020,-0.183,-0.808,0.29,-0.228,-0.084,0.951,Unknown
1601655833030,0.335,1.098,0.61,-0.233,-0.08,0.951,Unknown
1601655833039,-0.152,0.64,0.777,-0.238,-0.073,0.954,Unknown
1601655833049,-0.671,-0.854,-0.061,-0.239,-0.073,0.945,Unknown
1601655833059,-1.159,-3.095,-0.808,-0.225,-0.076,0.954,Unknown
1601655833070,-1.159,-2.058,-0.503,-0.212,-0.084,0.957,Unknown
1601655833080,-0.64,1.006,0.274,-0.222,-0.085,0.951,Unknown
1601655833089,-0.671,1.448,0.747,-0.228,-0.08,0.953,Unknown
1601655833099,-1.616,1.128,0.991,-0.236,-0.08,0.955,Unknown
1601655833109,-2.073,1.082,1.25,-0.244,-0.084,0.952,Unknown
1601655833119,-2.165,1.341,1.418,-0.236,-0.088,0.955,Unknown
1601655833128,-2.591,2.149,1.616,-0.241,-0.091,0.953,Unknown
1601655833138,-2.896,0.899,0.777,-0.256,-0.09,0.942,Unknown
1601655833149,-4.055,-3.171,-0.412,-0.242,-0.088,0.948,Unknown
1601655833159,-4.771,-5.595,-1.174,-0.23,-0.085,0.943,Unknown
1601655833169,-2.21,-5.229,-2.058,-0.221,-0.1,0.917,Unknown
1601655833178,2.149,-4.634,-2.027,-0.205,-0.068,0.943,Unknown
1601655833188,-2.317,-1.326,-0.03,-0.207,-0.085,0.932,Unknown
1601655833199,-0.213,0.381,0.091,-0.217,-0.092,0.921,Unknown
1601655833209,1.997,0.915,0.122,-0.211,-0.095,0.937,Unknown
1601655833218,2.713,2.363,0.564,-0.22,-0.091,0.956,Unknown
1601655833228,0.793,1.829,1.235,-0.226,-0.094,0.96,Unknown
1601655833238,0.793,1.387,1.601,-0.239,-0.09,0.952,Unknown
1601655833248,0.396,0.884,1.341,-0.236,-0.084,0.952,Unknown
1601655833259,0.152,0.061,0.564,-0.237,-0.083,0.952,Unknown
