epoc (ms),C_Gx,C_Gy,C_Gz,C_Ax,C_Ay,C_Az,Activity
1601655840685,0.076,7.774,3.704,-0.309,-0.106,-1.04,left curl
1601655840696,-0.32,5.854,2.759,-0.295,-0.107,-1.041,left curl
1601655840706,0.107,2.393,1.89,-0.277,-0.092,-1.05,left curl
1601655840715,0.945,-0.305,-0.412,-0.266,-0.087,-1.065,left curl
1601655840725,1.723,-1.555,-3.811,-0.257,-0.063,-1.088,left curl
1601655840735,2.957,-2.866,-6.799,-0.259,-0.01,-1.126,left curl
1601655840745,3.003,-5.198,-8.674,-0.281,-0.012,-1.18,left curl
1601655840756,-0.305,-4.055,-11.768,-0.338,-0.047,-1.231,left curl
1601655840764,-8.46,-0.274,-13.018,-0.392,-0.088,-1.272,left curl
1601655840775,-17.668,3.476,-11.326,-0.444,-0.127,-1.3,left curl
1601655840785,-26.753,6.905,-6.631,-0.476,-0.171,-1.332,left curl
1601655840795,-34.238,8.872,1.646,-0.489,-0.196,-1.378,left curl
1601655840804,-36.86,10.503,12.271,-0.476,-0.205,-1.446,left curl
1601655840814,-35.579,12.881,23.186,-0.443,-0.187,-1.514,left curl
1601655840825,-38.034,16.037,30.762,-0.406,-0.119,-1.578,left curl
1601655840835,-48.887,17.912,33.262,-0.36,-0.08,-1.603,left curl
1601655840845,-64.253,16.585,29.207,-0.331,-0.089,-1.619,left curl
1601655840854,-78.704,10.091,21.326,-0.331,-0.101,-1.634,left curl
1601655840864,-92.5,1.143,14.101,-0.342,-0.125,-1.625,left curl
1601655840874,-106.829,-5.595,8.902,-0.365,-0.144,-1.596,left curl
1601655840885,-120.701,-8.262,7.713,-0.389,-0.155,-1.553,left curl
1601655840893,-133.521,-10.457,12.18,-0.384,-0.18,-1.506,left curl
1601655840904,-142.18,-12.774,18.643,-0.365,-0.164,-1.473,left curl
1601655840914,-144.787,-14.421,23.857,-0.334,-0.108,-1.461,left curl
1601655840924,-147.348,-17.53,27.073,-0.299,-0.078,-1.455,left curl
1601655840934,-152.18,-22.043,28.72,-0.274,-0.039,-1.448,left curl
1601655840943,-158.659,-29.512,27.881,-0.249,-0.003,-1.447,left curl
1601655840953,-167.256,-40.991,24.756,-0.23,0.004,-1.456,left curl
1601655840964,-178.643,-54.07,19.954,-0.211,-0.001,-1.502,left curl
1601655840974,-194.512,-73.186,13.902,-0.202,0.002,-1.53,left curl
1601655840983,-210.579,-96.631,9.787,-0.205,-0.019,-1.493,left curl
1601655840993,-224.543,-112.82,9.619,-0.217,-0.013,-1.406,left curl
1601655841003,-237.744,-116.814,11.723,-0.207,-0.007,-1.287,left curl
1601655841013,-245.366,-110.96,15.351,-0.195,0.018,-1.188,left curl
1601655841024,-247.439,-102.363,17.881,-0.178,0.054,-1.106,left curl
1601655841033,-246.997,-92.668,16.997,-0.162,0.095,-1.062,left curl
1601655841043,-245.32,-85.945,13.598,-0.175,0.105,-1.033,left curl
1601655841053,-241.524,-84.421,11.89,-0.195,0.133,-1.006,left curl
1601655841063,-240.701,-85.518,10.442,-0.191,0.121,-0.976,left curl
1601655841072,-241.966,-85.213,9.405,-0.204,0.116,-0.942,left curl
1601655841082,-244.314,-85.229,10.183,-0.208,0.184,-0.904,left curl
1601655841093,-251.509,-88.384,9.985,-0.163,0.221,-0.816,left curl
1601655841103,-259.07,-90.488,5.991,-0.14,0.218,-0.68,left curl
1601655841113,-261.89,-87.729,-0.945,-0.172,0.251,-0.552,left curl
1601655841122,-257.622,-83.125,-5.061,-0.208,0.282,-0.461,left curl
1601655841132,-243.14,-81.723,-5.457,-0.217,0.268,-0.404,left curl
1601655841142,-228.171,-84.009,-5.518,-0.256,0.274,-0.344,left curl
1601655841153,-215.747,-78.125,-2.271,-0.325,0.384,-0.333,left curl
1601655841163,-203.247,-71.189,6.753,-0.313,0.398,-0.378,left curl
1601655841172,-196.631,-71.677,10.305,-0.285,0.453,-0.409,left curl
1601655841182,-199.68,-70.564,6.555,-0.306,0.543,-0.43,left curl
1601655841192,-207.79,-70.213,0.457,-0.276,0.527,-0.444,left curl
1601655841202,-218.537,-76.265,-6.966,-0.25,0.51,-0.392,left curl
1601655841211,-230.473,-81.433,-15.579,-0.252,0.517,-0.319,left curl
1601655841221,-237.378,-85.915,-22.668,-0.282,0.494,-0.224,left curl
1601655841232,-236.418,-86.997,-26.784,-0.32,0.482,-0.147,left curl
1601655841242,-229.009,-84.726,-27.652,-0.352,0.524,-0.113,left curl
1601655841252,-222.363,-82.82,-27.439,-0.37,0.543,-0.087,left curl
1601655841261,-219.619,-82.591,-27.729,-0.361,0.527,-0.033,left curl
1601655841271,-220.274,-81.646,-29.375,-0.343,0.51,0.017,left curl
1601655841282,-224.162,-79.558,-32.088,-0.336,0.487,0.058,left curl
1601655841292,-229.543,-77.622,-35.854,-0.342,0.461,0.111,left curl
1601655841301,-230.503,-76.54,-38.43,-0.361,0.459,0.167,left curl
1601655841311,-228.72,-77.927,-39.68,-0.386,0.472,0.201,left curl
1601655841321,-221.494,-84.954,-39.07,-0.423,0.438,0.268,left curl
1601655841331,-206.494,-92.18,-35.335,-0.46,0.485,0.312,left curl
1601655841342,-194.238,-95.152,-30.198,-0.446,0.486,0.315,left curl
1601655841350,-190.366,-95.396,-28.933,-0.442,0.47,0.33,left curl
1601655841361,-187.561,-89.451,-29.634,-0.45,0.463,0.343,left curl
1601655841371,-189.101,-79.695,-29.085,-0.451,0.419,0.361,left curl
1601655841381,-194.771,-73.628,-26.845,-0.446,0.401,0.355,left curl
1601655841390,-199.162,-74.863,-25.03,-0.428,0.399,0.377,left curl
1601655841400,-201.54,-79.726,-26.784,-0.393,0.38,0.433,left curl
1601655841410,-201.814,-84.177,-30.625,-0.39,0.355,0.503,left curl
1601655841421,-198.232,-87.378,-34.375,-0.411,0.346,0.552,left curl
1601655841431,-189.97,-95.03,-34.421,-0.43,0.304,0.615,left curl
1601655841440,-175.625,-105.579,-31.966,-0.438,0.291,0.669,left curl
1601655841450,-161.082,-115.595,-28.11,-0.408,0.285,0.659,left curl
1601655841460,-155.64,-120.945,-27.759,-0.359,0.268,0.658,left curl
1601655841471,-159.299,-119.604,-31.052,-0.331,0.229,0.72,left curl
1601655841479,-166.418,-113.796,-33.857,-0.305,0.184,0.809,left curl
1601655841490,-173.704,-107.043,-35.564,-0.268,0.157,0.919,left curl
1601655841500,-176.189,-99.284,-37.47,-0.228,0.146,1.054,left curl
1601655841510,-171.951,-93.415,-39.207,-0.181,0.114,1.209,left curl
1601655841520,-161.341,-90.168,-38.857,-0.165,0.016,1.429,left curl
1601655841529,-136.143,-86.936,-35.595,-0.167,-0.049,1.634,left curl
1601655841539,-101.631,-80.183,-33.247,-0.153,-0.098,1.761,left curl
1601655841550,-69.177,-65.076,-32.805,-0.148,-0.162,1.793,left curl
1601655841560,-44.39,-47.454,-32.576,-0.176,-0.215,1.76,left curl
1601655841569,-25.579,-32.973,-30.518,-0.237,-0.242,1.691,left curl
1601655841579,-11.57,-21.677,-23.765,-0.283,-0.213,1.611,left curl
1601655841589,0.854,-9.009,-16.25,-0.324,-0.158,1.531,left curl
1601655841599,14.832,3.78,-9.817,-0.37,-0.112,1.415,left curl
1601655841610,30.32,10.976,-3.323,-0.407,-0.064,1.292,left curl
1601655841618,43.11,14.634,3.491,-0.423,-0.021,1.191,left curl
1601655841629,50.762,18.948,9.726,-0.447,0.017,1.119,left curl
1601655841639,55.366,23.369,16.067,-0.466,0.057,1.076,left curl
1601655841649,59.909,28.491,22.363,-0.469,0.091,1.05,left curl
1601655841658,63.262,35.93,28.445,-0.466,0.111,1.042,left curl
1601655841668,66.311,43.43,34.238,-0.456,0.133,1.025,left curl
1601655841679,71.22,47.058,38.75,-0.435,0.16,1.018,left curl
1601655841689,78.095,47.835,41.601,-0.405,0.177,1.017,left curl
1601655841699,85.137,45.976,43.293,-0.364,0.183,1.006,left curl
1601655841708,91.601,44.131,41.966,-0.337,0.203,1.01,left curl
1601655841718,98.994,42.652,39.619,-0.324,0.218,1.029,left curl
1601655841728,108.262,43.75,37.47,-0.318,0.235,1.036,left curl
1601655841739,117.287,47.287,35.655,-0.311,0.244,1.019,left curl
1601655841747,126.326,49.436,34.985,-0.315,0.255,0.986,left curl
1601655841758,134.131,51.814,35.61,-0.317,0.259,0.957,left curl
1601655841768,136.723,56.372,36.585,-0.304,0.267,0.918,left curl
1601655841778,135.564,61.555,37.134,-0.307,0.293,0.898,left curl
1601655841788,137.409,67.119,37.561,-0.309,0.323,0.875,left curl
1601655841797,145.29,71.494,37.546,-0.297,0.343,0.854,left curl
1601655841807,154.436,73.369,37.027,-0.276,0.361,0.817,left curl
1601655841818,163.735,72.942,33.948,-0.259,0.377,0.768,left curl
1601655841828,173.247,71.052,30.198,-0.26,0.389,0.732,left curl
1601655841837,181.936,69.909,27.332,-0.262,0.397,0.686,left curl
1601655841847,187.104,73.354,25.381,-0.26,0.406,0.627,left curl
1601655841857,187.896,78.689,23.826,-0.255,0.427,0.553,left curl
1601655841867,187.119,83.796,21.113,-0.258,0.443,0.501,left curl
1601655841878,185.0,86.448,17.912,-0.253,0.454,0.45,left curl
1601655841887,183.902,84.756,15.183,-0.258,0.475,0.409,left curl
1601655841897,185.274,82.454,12.256,-0.262,0.496,0.377,left curl
1601655841907,189.207,79.726,8.857,-0.277,0.491,0.351,left curl
1601655841917,193.476,76.738,3.918,-0.299,0.484,0.32,left curl
1601655841926,199.573,76.662,-0.32,-0.319,0.476,0.292,left curl
1601655841936,205.686,78.018,-0.107,-0.34,0.472,0.258,left curl
1601655841947,211.159,83.171,2.546,-0.367,0.459,0.207,left curl
1601655841957,213.704,92.332,9.131,-0.389,0.458,0.147,left curl
1601655841967,214.055,104.665,17.332,-0.395,0.472,0.082,left curl
1601655841976,213.979,117.18,24.741,-0.377,0.484,-0.012,left curl
1601655841986,215.274,122.957,29.771,-0.341,0.492,-0.112,left curl
1601655841996,215.808,119.863,30.762,-0.316,0.501,-0.183,left curl
1601655842007,215.762,115.457,28.826,-0.32,0.509,-0.227,left curl
1601655842017,215.655,116.357,26.631,-0.321,0.528,-0.285,left curl
1601655842026,215.244,115.945,25.122,-0.326,0.524,-0.335,left curl
1601655842036,220.274,113.43,24.162,-0.34,0.537,-0.404,left curl
1601655842046,228.079,111.082,25.701,-0.345,0.547,-0.481,left curl
1601655842056,230.366,104.954,27.576,-0.325,0.533,-0.565,left curl
1601655842065,224.832,97.226,28.018,-0.318,0.531,-0.599,left curl
1601655842075,216.128,94.207,28.43,-0.309,0.54,-0.606,left curl
1601655842086,207.363,90.534,27.835,-0.271,0.532,-0.605,left curl
1601655842096,201.463,80.549,23.643,-0.238,0.504,-0.579,left curl
1601655842106,202.927,70.183,17.774,-0.236,0.446,-0.532,left curl
1601655842115,208.095,71.905,11.86,-0.257,0.373,-0.513,left curl
1601655842125,219.177,84.162,13.338,-0.329,0.329,-0.535,left curl
1601655842136,241.57,95.488,27.515,-0.378,0.316,-0.612,left curl
1601655842146,265.671,101.829,46.585,-0.389,0.268,-0.693,left curl
1601655842155,288.338,104.375,63.963,-0.342,0.273,-0.78,left curl
1601655842165,307.18,104.512,79.848,-0.262,0.298,-0.933,left curl
1601655842175,307.774,100.046,84.131,-0.196,0.281,-1.081,left curl
1601655842185,290.076,91.631,74.39,-0.121,0.279,-1.135,left curl
1601655842196,266.845,79.543,63.003,-0.087,0.264,-1.146,left curl
1601655842204,247.607,67.774,48.796,-0.09,0.262,-1.17,left curl
1601655842215,228.521,55.076,33.78,-0.102,0.277,-1.181,left curl
1601655842225,211.463,39.802,23.095,-0.113,0.261,-1.146,left curl
1601655842235,202.622,30.183,13.46,-0.12,0.24,-1.112,left curl
1601655842244,197.439,25.015,5.229,-0.12,0.224,-1.108,left curl
1601655842254,191.799,18.841,-1.22,-0.117,0.194,-1.092,left curl
1601655842264,185.579,14.024,-8.079,-0.111,0.133,-1.053,left curl
1601655842275,179.192,13.735,-14.543,-0.127,0.071,-1.045,left curl
1601655842285,171.997,17.195,-19.649,-0.157,0.015,-1.038,left curl
1601655842294,166.052,22.866,-22.18,-0.176,-0.031,-1.057,left curl
1601655842304,162.759,29.771,-23.765,-0.197,-0.046,-1.105,left curl
1601655842314,162.363,32.393,-23.659,-0.198,-0.022,-1.174,left curl
1601655842325,162.668,24.68,-21.951,-0.177,-0.038,-1.222,left curl
1601655842333,160.32,12.82,-22.988,-0.177,-0.047,-1.242,left curl
1601655842344,157.195,4.863,-24.101,-0.198,-0.05,-1.261,left curl
1601655842354,155.427,1.524,-24.223,-0.223,-0.08,-1.293,left curl
1601655842364,152.744,1.357,-24.634,-0.261,-0.088,-1.337,left curl
1601655842374,150.884,0.229,-23.369,-0.288,-0.102,-1.368,left curl
1601655842383,151.418,-2.043,-19.527,-0.303,-0.143,-1.408,left curl
1601655842393,152.043,-3.095,-13.293,-0.308,-0.166,-1.458,left curl
1601655842404,149.878,1.433,-6.829,-0.318,-0.17,-1.528,left curl
1601655842414,142.866,12.195,-3.811,-0.338,-0.181,-1.616,left curl
1601655842423,129.238,22.744,-4.207,-0.359,-0.175,-1.707,left curl
1601655842433,110.396,27.149,-3.857,-0.365,-0.174,-1.784,left curl
1601655842443,91.159,25.244,-2.774,-0.368,-0.166,-1.82,left curl
1601655842453,73.765,19.314,-0.213,-0.356,-0.149,-1.821,left curl
1601655842464,56.646,13.674,2.881,-0.344,-0.129,-1.809,left curl
1601655842472,39.832,9.817,4.543,-0.323,-0.1,-1.796,left curl
1601655842483,24.299,5.046,4.085,-0.309,-0.083,-1.754,left curl
1601655842493,8.796,-0.274,2.088,-0.301,-0.092,-1.691,left curl
1601655842503,-7.973,-6.021,-1.57,-0.28,-0.111,-1.609,left curl
1601655842512,-24.253,-11.89,-5.122,-0.279,-0.113,-1.504,left curl
1601655842522,-37.546,-15.93,-7.851,-0.283,-0.128,-1.379,left curl
1601655842533,-47.759,-17.271,-8.384,-0.292,-0.142,-1.269,left curl
1601655842543,-55.579,-17.18,-8.354,-0.282,-0.158,-1.172,left curl
1601655842553,-60.396,-17.927,-9.436,-0.262,-0.16,-1.074,left curl
1601655842562,-60.793,-18.399,-9.116,-0.254,-0.154,-0.987,left curl
1601655842572,-57.454,-17.607,-8.598,-0.246,-0.15,-0.913,left curl
1601655842582,-53.399,-15.046,-7.424,-0.238,-0.141,-0.856,left curl
1601655842593,-48.506,-11.753,-5.808,-0.239,-0.131,-0.815,left curl
1601655842601,-42.622,-8.811,-5.457,-0.235,-0.128,-0.789,left curl
1601655842612,-35.351,-6.463,-5.213,-0.235,-0.119,-0.769,left curl
1601655842622,-27.866,-2.851,-4.848,-0.235,-0.101,-0.759,left curl
1601655842632,-20.503,0.579,-4.588,-0.228,-0.09,-0.772,left curl
1601655842642,-12.546,2.012,-4.405,-0.232,-0.079,-0.786,left curl
1601655842651,-4.817,2.591,-3.628,-0.237,-0.078,-0.807,left curl
1601655842661,1.845,3.308,-1.753,-0.238,-0.085,-0.833,left curl
1601655842672,6.905,4.695,0.351,-0.244,-0.079,-0.869,left curl
1601655842682,10.777,6.067,1.768,-0.245,-0.067,-0.905,left curl
1601655842691,14.192,6.22,2.546,-0.243,-0.064,-0.94,left curl
1601655842701,16.921,5.518,2.881,-0.245,-0.058,-0.973,left curl
1601655842711,18.628,5.93,1.631,-0.244,-0.052,-1.006,left curl
1601655842721,19.009,6.966,-0.015,-0.242,-0.045,-1.035,left curl
1601655842732,20.381,7.058,-0.534,-0.248,-0.051,-1.065,left curl
1601655842741,21.387,6.524,-0.168,-0.248,-0.064,-1.083,left curl
1601655842751,19.985,6.098,0.107,-0.244,-0.067,-1.106,left curl
1601655842761,17.134,5.396,0.732,-0.246,-0.072,-1.123,left curl
1601655842771,13.857,4.832,2.241,-0.251,-0.08,-1.14,left curl
1601655842780,10.625,3.567,3.811,-0.245,-0.078,-1.15,left curl
1601655842790,7.668,1.814,3.826,-0.244,-0.068,-1.154,left curl
1601655842801,5.137,1.25,2.652,-0.245,-0.066,-1.142,left curl
1601655842811,1.159,2.134,1.402,-0.246,-0.073,-1.124,left curl
1601655842821,-2.515,2.744,-0.183,-0.254,-0.079,-1.104,left curl
1601655842830,-5.076,3.186,-1.235,-0.264,-0.088,-1.087,left curl
1601655842840,-6.341,3.186,-0.793,-0.265,-0.096,-1.073,left curl
1601655842850,-5.732,1.357,0.732,-0.254,-0.084,-1.059,left curl
1601655842861,-4.055,-1.143,2.073,-0.236,-0.078,-1.037,left curl
1601655842871,-3.018,-2.073,1.57,-0.223,-0.076,-1.016,left curl
1601655842880,-2.424,-1.753,0.259,-0.227,-0.076,-1.009,left curl
1601655842890,-2.591,-0.777,0.777,-0.24,-0.096,-0.991,left curl
1601655842900,-5.595,2.835,2.134,-0.246,-0.106,-0.987,left curl
1601655842910,-7.805,6.113,2.043,-0.234,-0.103,-0.98,left curl
1601655842919,-7.454,6.89,2.957,-0.23,-0.091,-0.976,left curl
1601655842929,-5.0,6.951,4.573,-0.221,-0.086,-0.976,left curl
1601655842940,-2.515,6.357,4.634,-0.208,-0.077,-0.978,left curl
1601655842950,-0.366,4.924,3.994,-0.203,-0.076,-0.984,left curl
1601655842960,0.534,4.314,3.506,-0.207,-0.074,-0.991,left curl
1601655842969,1.067,4.558,3.171,-0.208,-0.072,-0.996,left curl
1601655842979,2.195,3.948,2.698,-0.203,-0.072,-1.008,left curl
1601655842990,3.887,1.921,2.165,-0.209,-0.076,-1.016,left curl
1601655843000,4.832,0.686,1.921,-0.215,-0.079,-1.017,left curl
1601655843009,5.03,1.463,1.905,-0.218,-0.072,-1.017,left curl
1601655843019,5.107,3.155,1.814,-0.224,-0.068,-1.033,left curl
1601655843029,4.817,4.802,0.549,-0.223,-0.074,-1.04,left curl
1601655843039,4.314,5.351,-1.021,-0.228,-0.074,-1.048,left curl
1601655843050,4.878,5.412,-3.902,-0.228,-0.082,-1.059,left curl
1601655843058,6.784,4.405,-4.253,-0.239,-0.075,-1.068,left curl
1601655843069,11.631,4.466,-3.582,-0.254,-0.097,-1.094,left curl
1601655843079,17.835,6.082,-4.817,-0.269,-0.113,-1.146,left curl
1601655843089,26.021,5.808,-5.259,-0.283,-0.115,-1.211,left curl
1601655843098,33.704,4.421,-5.976,-0.283,-0.118,-1.248,left curl
1601655843108,41.311,4.985,-7.5,-0.278,-0.113,-1.306,left curl
1601655843118,42.409,5.168,-8.064,-0.284,-0.136,-1.366,left curl
1601655843129,35.381,7.485,-6.372,-0.307,-0.161,-1.433,left curl
1601655843139,22.393,11.006,-2.47,-0.339,-0.2,-1.508,left curl
1601655843148,2.866,14.817,5.137,-0.362,-0.229,-1.581,left curl
1601655843158,-18.476,18.262,12.896,-0.361,-0.222,-1.636,left curl
1601655843168,-37.317,16.707,17.622,-0.346,-0.207,-1.662,left curl
1601655843179,-55.793,11.723,19.253,-0.33,-0.201,-1.667,left curl
1601655843187,-73.216,5.32,19.893,-0.314,-0.2,-1.65,left curl
1601655843198,-88.095,0.076,20.549,-0.304,-0.206,-1.62,left curl
1601655843208,-100.534,-1.067,20.777,-0.293,-0.193,-1.597,left curl
1601655843218,-110.762,0.884,18.902,-0.271,-0.166,-1.601,left curl
1601655843228,-118.567,2.973,18.308,-0.253,-0.192,-1.583,left curl
1601655843237,-125.945,3.277,18.963,-0.247,-0.183,-1.605,left curl
1601655843247,-132.088,1.174,17.851,-0.226,-0.181,-1.616,left curl
1601655843258,-139.756,-0.518,18.933,-0.212,-0.186,-1.629,left curl
1601655843268,-152.561,-3.308,20.427,-0.178,-0.183,-1.648,left curl
1601655843277,-168.735,-6.601,20.229,-0.148,-0.168,-1.645,left curl
1601655843287,-184.771,-10.061,16.86,-0.115,-0.177,-1.613,left curl
1601655843297,-198.354,-13.994,14.238,-0.078,-0.206,-1.558,left curl
1601655843307,-205.976,-17.515,12.652,-0.046,-0.204,-1.509,left curl
1601655843318,-210.64,-20.655,10.915,-0.034,-0.143,-1.481,left curl
1601655843326,-217.393,-25.396,7.287,0.005,-0.148,-1.427,left curl
1601655843337,-224.787,-28.293,2.18,0.001,-0.151,-1.354,left curl
1601655843347,-229.024,-31.28,-0.793,-0.002,-0.181,-1.267,left curl
1601655843357,-228.369,-35.381,-0.213,0.0,-0.149,-1.188,left curl
1601655843366,-228.75,-42.058,-0.808,0.012,-0.094,-1.117,left curl
1601655843376,-230.869,-49.71,-3.186,0.042,-0.106,-1.029,left curl
1601655843387,-232.698,-54.223,-6.235,0.036,-0.07,-0.957,left curl
1601655843397,-236.006,-55.991,-10.229,0.036,-0.018,-0.892,left curl
1601655843407,-241.113,-54.009,-14.39,0.032,0.025,-0.838,left curl
1601655843416,-246.189,-48.659,-19.314,0.025,0.049,-0.784,left curl
1601655843426,-249.787,-41.159,-24.207,0.002,0.137,-0.764,left curl
1601655843436,-253.72,-40.457,-29.253,-0.001,0.191,-0.726,left curl
1601655843447,-254.36,-45.396,-32.729,-0.001,0.168,-0.662,left curl
1601655843455,-251.799,-53.323,-36.143,-0.013,0.196,-0.605,left curl
1601655843466,-248.765,-61.113,-39.512,-0.037,0.273,-0.568,left curl
1601655843476,-248.14,-68.963,-44.924,-0.045,0.287,-0.509,left curl
1601655843486,-248.46,-74.253,-50.473,-0.062,0.278,-0.433,left curl
1601655843496,-248.171,-74.619,-54.207,-0.112,0.336,-0.384,left curl
1601655843505,-247.698,-75.64,-56.052,-0.137,0.342,-0.319,left curl
1601655843515,-245.716,-73.887,-56.921,-0.194,0.359,-0.251,left curl
1601655843526,-239.223,-73.247,-53.567,-0.23,0.365,-0.194,left curl
1601655843536,-230.564,-73.186,-48.506,-0.25,0.405,-0.16,left curl
1601655843545,-225.655,-71.723,-45.808,-0.258,0.446,-0.148,left curl
1601655843555,-224.665,-69.405,-45.61,-0.261,0.458,-0.119,left curl
1601655843565,-223.201,-62.881,-47.988,-0.273,0.499,-0.097,left curl
1601655843575,-223.216,-57.454,-49.878,-0.308,0.553,-0.096,left curl
1601655843586,-225.091,-59.207,-51.738,-0.327,0.546,-0.063,left curl
1601655843595,-224.36,-61.235,-54.131,-0.323,0.51,-0.007,left curl
1601655843605,-217.988,-55.107,-56.006,-0.336,0.534,0.025,left curl
1601655843615,-209.848,-45.122,-57.988,-0.374,0.558,0.006,left curl
1601655843625,-205.884,-41.921,-58.948,-0.401,0.542,0.005,left curl
1601655843634,-204.085,-46.143,-57.668,-0.425,0.494,0.04,left curl
1601655843644,-197.256,-52.302,-52.576,-0.468,0.494,0.096,left curl
1601655843655,-188.674,-60.625,-45.488,-0.482,0.501,0.139,left curl
1601655843665,-183.582,-67.165,-40.518,-0.467,0.508,0.177,left curl
1601655843675,-184.954,-67.622,-38.704,-0.472,0.521,0.209,left curl
1601655843684,-189.223,-62.119,-39.375,-0.478,0.518,0.25,left curl
1601655843694,-193.43,-52.378,-40.823,-0.49,0.518,0.264,left curl
1601655843704,-195.244,-45.884,-41.204,-0.505,0.545,0.257,left curl
1601655843715,-196.159,-45.93,-39.68,-0.503,0.534,0.27,left curl
1601655843723,-196.265,-53.445,-37.134,-0.5,0.506,0.299,left curl
1601655843734,-194.985,-62.729,-37.21,-0.51,0.466,0.354,left curl
1601655843744,-195.564,-72.149,-36.479,-0.536,0.452,0.397,left curl
1601655843754,-196.585,-85.701,-34.665,-0.554,0.396,0.473,left curl
1601655843764,-197.271,-100.823,-32.424,-0.589,0.354,0.585,left curl
1601655843773,-196.463,-117.851,-27.622,-0.623,0.294,0.737,left curl
1601655843783,-193.963,-129.71,-19.345,-0.65,0.233,0.936,left curl
1601655843794,-195.838,-131.86,-4.848,-0.643,0.161,1.159,left curl
1601655843804,-202.241,-125.549,11.631,-0.591,0.085,1.385,left curl
1601655843813,-202.485,-111.082,25.168,-0.543,0.074,1.642,left curl
1601655843823,-182.652,-85.137,32.287,-0.498,0.132,1.851,left curl
1601655843833,-138.659,-59.832,31.905,-0.456,0.206,1.936,left curl
1601655843844,-79.771,-45.168,24.04,-0.418,0.268,1.92,left curl
1601655843854,-16.113,-37.973,13.857,-0.387,0.306,1.807,left curl
1601655843863,34.604,-29.253,5.259,-0.392,0.306,1.637,left curl
1601655843873,61.662,-13.323,2.287,-0.411,0.292,1.456,left curl
1601655843883,73.262,6.387,5.762,-0.419,0.33,1.292,left curl
1601655843893,81.677,22.378,9.665,-0.42,0.392,1.135,left curl
1601655843904,91.052,29.665,11.021,-0.418,0.446,0.984,left curl
1601655843912,100.427,27.454,9.649,-0.411,0.488,0.858,left curl
1601655843923,109.649,19.665,6.662,-0.416,0.523,0.755,left curl
1601655843933,115.366,12.424,4.131,-0.434,0.54,0.695,left curl
1601655843943,114.985,10.137,3.293,-0.455,0.546,0.665,left curl
1601655843952,110.793,10.427,5.793,-0.471,0.542,0.651,left curl
1601655843962,104.68,11.159,11.616,-0.468,0.54,0.646,left curl
1601655843972,98.079,10.96,17.088,-0.452,0.561,0.652,left curl
1601655843983,92.729,10.945,19.604,-0.434,0.584,0.665,left curl
1601655843993,89.238,11.905,19.695,-0.411,0.599,0.68,left curl
1601655844002,89.207,12.774,19.238,-0.398,0.6,0.712,left curl
1601655844012,93.247,13.521,19.024,-0.391,0.604,0.733,left curl
1601655844022,100.732,14.497,17.973,-0.39,0.616,0.74,left curl
1601655844033,110.701,17.104,15.198,-0.397,0.611,0.733,left curl
1601655844041,120.473,20.716,12.622,-0.407,0.596,0.717,left curl
1601655844052,128.338,24.802,11.829,-0.417,0.588,0.69,left curl
1601655844062,134.756,28.521,12.637,-0.416,0.589,0.677,left curl
1601655844072,140.534,32.378,14.116,-0.401,0.589,0.658,left curl
1601655844082,146.463,36.311,14.405,-0.386,0.595,0.624,left curl
1601655844091,151.296,39.131,11.951,-0.368,0.594,0.581,left curl
1601655844101,155.259,40.244,9.116,-0.356,0.592,0.546,left curl
1601655844112,158.78,41.372,5.716,-0.338,0.596,0.505,left curl
1601655844122,161.845,42.866,0.732,-0.323,0.603,0.461,left curl
1601655844131,164.649,44.223,-5.03,-0.315,0.601,0.42,left curl
1601655844141,167.942,44.588,-10.168,-0.318,0.589,0.384,left curl
1601655844151,172.622,44.405,-14.466,-0.325,0.578,0.351,left curl
1601655844161,176.524,45.183,-17.454,-0.322,0.562,0.303,left curl
1601655844172,178.186,46.753,-19.649,-0.32,0.55,0.261,left curl
1601655844180,178.948,50.412,-20.884,-0.33,0.545,0.235,left curl
1601655844191,181.28,55.305,-21.235,-0.326,0.529,0.202,left curl
1601655844201,185.061,59.985,-20.473,-0.328,0.518,0.167,left curl
1601655844211,190.442,65.777,-20.274,-0.313,0.5,0.126,left curl
1601655844220,198.034,76.845,-19.558,-0.319,0.49,0.087,left curl
1601655844230,205.274,96.174,-19.436,-0.334,0.483,0.012,left curl
1601655844241,212.774,119.223,-17.073,-0.345,0.458,-0.072,left curl
1601655844251,218.415,142.896,-9.131,-0.363,0.431,-0.179,left curl
1601655844261,224.787,162.47,4.512,-0.371,0.422,-0.322,left curl
1601655844270,224.863,165.899,19.436,-0.354,0.425,-0.457,left curl
1601655844280,220.366,153.72,31.662,-0.338,0.443,-0.558,left curl
1601655844290,216.524,134.253,37.79,-0.311,0.468,-0.636,left curl
1601655844301,212.668,111.845,38.933,-0.277,0.479,-0.699,left curl
1601655844309,204.863,90.32,38.186,-0.259,0.479,-0.744,left curl
1601655844320,194.101,73.201,35.457,-0.249,0.502,-0.756,left curl
1601655844330,183.933,59.223,28.811,-0.25,0.519,-0.753,left curl
1601655844340,175.61,47.287,21.357,-0.244,0.496,-0.737,left curl
1601655844350,170.518,41.845,16.341,-0.243,0.465,-0.715,left curl
1601655844359,168.201,45.869,14.619,-0.244,0.437,-0.696,left curl
1601655844369,166.631,55.716,15.122,-0.239,0.421,-0.719,left curl
